#tail	head
ACSL3	PDHX
ATP5F1B	ESRRA
ATP5F1B	PRKAB2
USP39	SRPK1
RACGAP1	HIST1H3G
RPS14	WDR77
HNRNPC	YBX1
HNRNPC	RNF2
HNRNPC	PRPF6
HELZ	CLTC
FBL	RPS15
FBL	YTHDF3
FBL	RPL30
FBL	PRRC2C
CUL4A	UBE2M
PRPF4B	MAGOH
PRPF4B	PRPF18
RPS9	ITGA4
RPS9	YBX1
UBE2M	CLTC
UBE2M	HIST1H3G
SNRPD2	LSM5
SNRPD2	PQBP1
SNRPD2	PRPF18
NXF1	SLBP
NXF1	MAGOH
NXF1	ABCF3
SF3B2	ALYREF
RPS3A	NPM1
ACSBG1	NPM1
AP2A1	SLBP
RPL26	ILF2
RPL26	ITGA4
SGSM3	RPL35
PQBP1	YBX1
PQBP1	CWC27
SIK1	PRKAA1
IDH1	DLD
YBX1	ALYREF
YBX1	MAGOH
ALYREF	WDR77
RBM10	HIST1H3G
RBM3	ILF2
ARID4B	CTNNB1
ACSF2	ALAS2
ACSF2	GLYATL3
PYCR2	IVD
ILF2	PRKRA
