#tail	head
PCBP2	SP1
CRK	RPS3
PTPN11	DVL1
PTPN11	GAPDHS
PXN	COL6A1
PRKN	GAPDH
PRKN	LRRK2
C1R	IGKV2D-30
C1R	SLC2A1
C1R	NR0B2
DAGLA	ZNRF4
AGO1	UBC
ALDH2	KRT10
VPS13B	CSNK1D
OTC	DUSP15
PRKCB	RB1
PRKCB	LEF1
DYNC1H1	CLASP1
REEP3	OR5J2
RPP25	RPS3
CLINT1	INS
LAX1	GRAP2
IGHV3-48	IGKV1D-33
IGHV3-48	PIK3CA
ABI1	IRAK4
ABI1	IGKV2D-30
COPS6	KRT10
COPS6	PRDX1
COPS6	KLHL2
ZC3H6	FOXJ2
JAGN1	SAR1A
PIK3CG	IGKV1D-33
PIK3CG	IGHV3-11
PIK3CG	OCRL
PIK3CG	PIK3R3
ITGB5	ITGA11
ITGB5	P2RX4
ITGB5	DAB1
ITGB5	GRAP2
MARS	SLC38A9
MARS	H3F3B
IRAK4	IL1RL1
BACH2	XPOT
PRDX1	IQCB1
SP1	ZBTB17
SP1	RPS3
SP1	CD74
SP1	CNTROB
SP1	PFKFB4
SP1	CNPY3
SP1	CSTF3
SP1	ABCA2
SP1	ASNS
TMEM97	TMEM14B
NEDD8	SYNCRIP
NEDD8	CUL4A
OR52E4	APP
OR52E4	REEP2
SPRR2D	LCE1D
SPRR2D	RPTN
GFI1	RUNX1
RNF138	UBE2B
GJC2	ALB
CHST1	LUM
LUM	COL6A1
ASNS	FPGS
PIK3CA	LYN
PIK3CA	CD247
SGF29	DTNB
SLX1A	USP4
AMPD2	CNOT3
AMPD2	ANAPC2
AMPD2	UBC
AMPD2	APP
CSNK2A1	SPIB
COMMD2	FBXW5
ZBTB17	ESR1
ZBTB17	MAZ
KITLG	YES1
YWHAE	EGFR
YWHAE	LEF1
YWHAE	RPS3
BRK1	GNB1
CNTROB	SMAP2
CSTF3	GAPDH
CSTF3	FIP1L1
UBE2J1	HERC4
MAP1LC3A	EGFR
PIK3R3	IGLV2-8
PIK3R3	IL2
RPLP0	RPL34
CUL4A	POLR2B
CUL4A	HIST1H4H
NOTCH3	EGFR
NOTCH3	TNRC6C
ZNF331	FBXO38
OR6J1	REEP5
IRF7	ANGPTL4
IRF7	PSMB9
RTP3	GNAL
HK3	PFKFB4
TRIM36	UBC
IGKV1-17	C2
TMEM187	TMEM14B
TMEM187	SAR1A
TMEM187	RB1
SREBF2	INS
GNB1	APP
GNB1	REEP2
GNB1	OR2AT4
GNB1	OR51Q1
GYPA	SAR1A
IDH1	GPT
DEFA1B	EGFR
KIF14	CEP89
KIF14	INS
IL1RL1	FOXJ1
MSMB	APP
PCDHA6	ERBB3
DUSP16	PFKL
DUSP16	YES1
NTRK1	PSMD14
RHEB	BNIP3
MICALL1	LAMB1
MICALL1	MAZ
ZNRD1	H3F3B
APOA1	FAM20C
AHNAK	MAZ
AHNAK	LEF1
DPCD	CDC37
AKAP17A	NINL
TMEM254	INS
MAP1B	IQCB1
TSNAX	CDK5RAP2
ZMYM2	CD247
ZMYM2	RB1
NCOA4	INS
IDH3B	GAPDHS
IGKV2D-30	EGFR
IGKV2D-30	LYN
IGKV2D-30	C2
HIST1H4C	LIN37
HIST1H4C	TNF
HECW2	MAZ
HECW2	EGFR
COL6A1	ITGA5
REEP4	EGFR
XPO1	C17orf53
RB1	TNF
RB1	H3F3B
RB1	LEF1
ABCA7	SYNCRIP
MAPRE3	CLASP1
C2	IGLV2-8
MAX	UBE2B
MAX	MAN2A2
MAX	USP1
RPA2	EFTUD2
FGF23	ALB
NPC2	ESR1
UBC	LYN
YES1	IGLV1-47
TNF	CD247
TNF	SPI1
TNF	APP
TNF	PSMB11
TNF	HIST1H4H
RUNX1	GRAP2
RPS15	RPS3
AP2A1	INS
PECR	ADH1B
ALB	CROT
MAZ	HERC4
MAZ	DOCK6
FGR	EGFR
FGR	IGLV2-8
RANBP2	CENPS
OR10K1	REEP2
FAM20C	FBLN1
LMO7	LEF1
GAPDH	ESR1
GAPDH	INS
TGM1	L2HGDH
NUP98	LEF1
HIST1H4H	ALDH1A1
HIST1H4H	KMT2A
CDC37	LRRK2
CDC37	DVL1
NINL	CAMSAP2
PTGES3	IL2
PSMB11	PSMA6
EFTUD2	KMT2A
IL2	LEF1
IL2	RPS3
NT5C1B	APP
CSNK1D	RPS3
CSNK1D	LRRK2
CSNK1D	APP
SYNCRIP	QKI
SEL1L	EGFR
IQCB1	FLG2
ITGB2	LYN
ITGB2	INS
IGLV2-8	LYN
ADH1B	ALDH1A1
MCRS1	KRTAP10-7
