#tail	head
RANBP1	E2F1
NOP9	MME
NOP9	NIFK
COASY	SOAT1
COASY	PLA2G4B
CDC5L	SCRIB
CDC5L	IQGAP1
CDC5L	MED4
CDC5L	HOXD12
E2F1	MME
E2F1	ESR1
E2F1	MAX
BNIP1	RAB1A
USP46	IQGAP1
EIF2D	OGA
FARSB	MME
FARSB	PRKAB1
FARSB	OGA
MKRN3	IGF1
MKRN3	UBE2E1
MKRN3	MAX
UGT2A2	ADH4
UGT2A2	CES5A
MAX	MORF4L2
MAX	PRKAB1
MAX	YIF1A
ATP5F1C	MED4
MYLIP	UBE2E1
CARS	PACSIN2
UBE2V1	OGA
UBE2V1	TRIP12
IQGAP1	DNM1L
IQGAP1	RPL14
NIFK	MED4
NIFK	RPL11
PIGF	PLA2G12B
RPL11	ESR1
GPAT4	TCTN2
PLA2G4B	SOAT1
HIST2H4B	FH
HIST2H4B	RAB1A
OGA	SCRIB
OGA	DNM1L
CKMT1A	ARIH2OS
AGTR2	IGF1
AGTR2	GNAQ
GGA1	M6PR
ACSL5	CERS1
ACSL5	ADH6
ACSL5	PRKAB1
TRIP12	ESR1
UBE2E1	CBFA2T3
ALG3	PIGB
RGS17	PTGER3
RGS17	GNAQ
HSD3B1	ADH6
HSD3B1	ESR1
CES5A	CERS1
IGF1	ESR1
PRKAB1	FH
SCRIB	MED4
SOAT1	PLA2G12B
TCTN2	LMAN1
ARF3	CBFA2T3
ESR1	RPN2
ADH4	DHODH
PDCD2L	KANK4
LMAN1	TRAPPC3
KANK4	TRAPPC3
