#tail	head
RPS14	CUL4A
ZFYVE9	RNPEP
AARS	EIF3M
MCTS1	LEF1
CALCA	GNG11
CALCA	CXCR2
TCAP	MYL1
TCAP	TRDN
TCAP	CACNA2D1
TCAP	CHRNB2
CAV3	CALM1
CAV3	CEP95
EIF3M	C12orf10
EIF3M	DDX5
EPN1	PI4K2B
EPN1	SYNJ1
MYL1	CHRNA3
PI4K2B	NECAP1
GLP2R	GNG11
SMARCC2	PYGO2
CXCR2	GNG11
CXCR2	CACNA2D1
WWP1	PYGM
KAT2A	ENY2
ENY2	CIAPIN1
SPICE1	CEP95
GNG12	SYNJ1
GNG12	RHO
GNG12	PROK1
RNF11	LEF1
TNNI3	TRDN
TNNI3	CALM1
LEF1	MECOM
LEF1	GNG11
CALM1	GNG7
CALM1	CHRNA3
GNG7	PROK1
GNG7	AVP
GNG7	FYTTD1
GNG7	RHO
EIF2A	EIF4G1
ANO4	NCBP3
AVP	GNG11
TRDN	PYGM
MAT2A	PYGM
