#tail	head
SNRPB	FIP1L1
PTP4A3	BTK
PTP4A3	UBE3C
PTP4A3	UPP2
AKAP1	MYL5
MYL5	CACNA1A
UBE2A	TP53
RPP25	RPS6
BTK	HSP90AB1
BTK	DUSP28
BTK	RHOG
COPS6	SERPINB9
COPS6	ZEB2
SLC4A9	SLC9A1
UBR4	ESR2
UBR4	UBE2K
ARHGAP30	RAC2
CACNA1A	EGR2
CACNA1A	CRMP1
ZKSCAN7	TP53
NFIC	HSP90AB1
EDN1	PRRT2
CSNK1E	HSP90AB1
CSNK1E	RPP38
AMPD2	ADORA3
AMPD2	ASB18
ESR2	RPS27L
ESR2	ARHGAP32
SERPING1	ST13
TP53	TCP1
TP53	RPS27L
TP53	MAP3K13
TP53	EGF
TP53	RPS6
TP53	HNRNPK
SOS2	RHOT1
HNRNPM	PABPN1
CNGA1	SRI
CNGA1	TTN
SRI	P2RX4
IGKV2D-40	FGR
ST13	KRT14
SLC12A3	STIP1
RPS27L	RPS21
CEP57	TTN
CACNA1D	P2RX4
IGLC1	FGR
ROBO1	NTN3
CLCN1	STIP1
ZNF217	VIM
FGR	PRRT2
FGR	CALM1
MYL3	CALM1
CNGB3	PRRT2
P2RX4	VIM
CALM1	ATF2
CATSPERG	CACNB2
RIOK2	RPP38
RNF31	PABPC1
GNB3	CACNB2
STIP1	HSP90AB1
ASF1B	TTN
