#tail	head
MED27	MED11
CREB1	CGA
CREB1	HNF4A
CREB1	TRIM5
CREB1	TRIM39
CREB1	DCTN1
CREB1	RNF4
RPA3	RARA
INCA1	TRIM26
NIF3L1	GABPB2
NIF3L1	BEND7
TRIM39	PLCD4
ATP5F1C	ATP6V1B1
ATP5F1C	OCIAD1
PKM	SPATA5
PKM	ATP6V0A4
PKM	AREG
PKM	TRIM63
DKKL1	COL6A2
AGAP1	FLCN
COL6A2	PRKCZ
IFI16	RNF4
IFI16	USP10
LTB	PSMF1
LTB	HNF4A
DVL3	AREG
DVL3	FGFR1OP2
DVL3	FGF1
DVL3	BLNK
PAPOLA	HNF4A
PAPOLA	NUDC
OGT	MCRS1
OGT	SF1
OGT	ZIC2
KIF2C	NUDC
HNF4A	RARA
HNF4A	ZIC2
HNF4A	PRKCSH
HNF4A	RNF4
HNF4A	DDOST
HNF4A	TRIM26
HNF4A	UBE2K
AREG	FZD7
AREG	SRC
AREG	CSNK1D
DDOST	RNF4
MED11	FAM120B
HSPB2	ZIC2
ZNF223	TRIM26
CGA	FZD7
CGA	EFHD2
ANK3	DCTN1
DCTN1	TCTN2
DCTN1	TMED10
BLNK	SRC
BLNK	FGFR1OP2
BLNK	DGKI
PLGRKT	ARF4
HMBOX1	MCRS1
CA4	ATP6V1B1
TRIM63	UBE2K
TRIM63	YOD1
TMED10	ARF4
TMED10	RNF4
TMED10	CSNK1D
OCIAD1	CYB5R3
LIMA1	EFHD2
SRC	FGF1
SRC	RARA
SRC	SF1
SRC	PLD1
SRC	DHX57
FZD6	FGF1
RAB3GAP1	TES
SF1	CSNK1D
SF1	ATP6V1B1
SF1	RNF4
PLCL1	PRKCZ
CARD10	DHX57
CYB5R3	GABPB2
TRIM5	UBE2K
FGF1	FZD7
RARA	PRKCZ
UBE2K	RNF4
MCRS1	ZIC2
DGKI	IGHV2-5
AAR2	NUDC
AAR2	ARF4
PSMF1	BEND7
THAP11	GABPB2
GABPB2	RNF4
