#tail	head
SMAD3	DNAJB5
SH3KBP1	SERPINH1
SH3KBP1	TOM1
SH3KBP1	TRAF6
SH3KBP1	CD28
SH3KBP1	TNKS1BP1
SKAP2	TGFBR1
BTG2	TNKS1BP1
RALA	EXOC4
DCP1A	SRRT
DCP1A	NAPG
SRRT	HNF4A
SRRT	MICALL1
SRRT	NAPG
SRRT	KCTD3
SRRT	SEH1L
SRRT	HSPBP1
SRRT	PALM3
SRRT	SERPINH1
SEH1L	MICALL1
SEH1L	ALPG
SEH1L	CAPZA1
MAPK9	TRAF6
DERL2	EMC2
DERL2	RNF5
BID	SELENOK
BID	F2R
TLN1	TES
TLN1	COL9A2
SMAD6	HNF4A
UBE2A	MGRN1
UBE2A	SKP2
TRAF6	NASP
COL16A1	MICALL1
CAPZA1	SERPINH1
NAPG	ALPG
NAPG	KCTD3
NAPG	HSPBP1
NAPG	CLTC
SCN3B	HSDL1
SCN3B	SFXN3
F2R	IL6
CNOT10	TNKS1BP1
NASP	MTNR1A
KCTD3	LRRC40
COQ9	SPART
MGRN1	HSDL1
HCK	IL6
HSPA7	HSPBP1
CLTC	TOM1
SERPINH1	HSPBP1
PLP2	RNF5
