#tail	head
TYR	NCF1
PPP2R2A	RPS2
PPP2R2A	SP1
APBB1	SP1
CD3G	BCR
IGHV3-7	LYN
IGHV3-7	CPSF6
IGHV3-7	GNB5
TEC	BCR
TEC	ICOS
RPL9P8	RPS2
RPL9P8	U2AF1
TNKS2	PSMD2
BRD4	REPIN1
ABI1	RAC1
ABI1	HGF
ABI1	IGLV3-25
PPP1R16B	AES
SLC34A1	GRIN2D
SLC34A1	ATP1B2
SP1	GNL1
SP1	FGF3
SP1	SIK2
NTRK3	IGHV4-34
NTRK3	GNGT1
CPSF6	FN1
CPSF6	GNG11
CPSF6	GNGT1
CPSF6	IGLV3-25
CPSF6	NRG3
IGKV4-1	LRRFIP1
TFCP2	LYN
GNB5	LYN
GNB5	IGLV1-51
GNB5	IGHV2-70
GNB5	TGFA
GNB5	CCKBR
SYNJ1	TGFA
BRK1	LYN
MAP1LC3A	CAV1
TNFSF11	PSMB10
WASL	ATG4C
HCRT	GNG11
TRAF6	IGLV2-23
REPIN1	ATP6V1A
UBA52	SPCS1
RAC1	FN1
RAC1	HGF
RAC1	GRIN2D
CAV1	TGFA
SLC9A5	GRIN2D
ATP2A3	ENTPD4
ICOS	BCR
IGHV4-34	IGLV2-23
GAB1	IGLV2-23
SPCS1	DDOST
FGF3	DRD4
SSR4	RPS27
ZNF414	DCAF16
GNAQ	DRD4
NKAIN3	SLC17A3
BMP4	RPL21
ATP1B2	KCNE4
RPL10A	RRP1B
RPL10A	RPS29
STAT3	LYN
RPS27	PPP2R5D
RPS27	RRP1B
CXCL8	BCR
SCYL2	RPS29
LRRFIP1	VAV3
RPS29	EIF3F
HGF	VAV3
HGF	GNGT1
IGLV3-25	TRPC6
IGLV3-25	GNGT1
LYN	BCR
BCR	IGLV2-23
