#tail	head
ZNF446	STAT1
ATP2C1	CACNA1A
ATP2C1	F2RL1
F2RL1	CACNA2D1
TNNC1	AGT
TNNC1	HRH4
TNNC1	TPM3
TNNC1	CACNA2D1
MAPK3	STMN1
MAPK3	NFKB1
MAPK3	CYFIP2
SNW1	CORO1B
SNW1	ESR1
SNW1	KIAA1143
SNW1	GTPBP4
SNW1	HDAC4
MYO6	ESR1
MYO6	FTSJ3
STAT1	ESR1
STAT1	AGT
TUBB	ESR1
TUBB	HDAC4
TUBB	TARDBP
NRF1	ZNF692
NRF1	FTSJ3
PRRG1	UQCRH
STMN1	ESR1
STMN1	MYOD1
ZNF692	IMP4
PAWR	NFKB1
AGT	GNGT1
AGT	ESR1
AGT	AR
ETS1	NME2
ETS1	UQCRH
USP54	MYOD1
USP54	CHMP5
NOP2	TARDBP
PRPF38B	MYOD1
TARDBP	NFKB1
TARDBP	SEC23B
MYOD1	TRPV3
MYOD1	JMJD1C
MYOD1	ESR1
MYOD1	CYFIP2
CACNA1A	TPM3
CACNA1A	GNGT1
CACNA1A	TELO2
SLC38A4	DPEP1
THAP7	TPM3
ESR1	EIF3I
ESR1	MAFG
ESR1	HDAC4
ESR1	AR
ESR1	FTSJ3
ESR1	JMJD1C
ESR1	TELO2
ESR1	EIF4G3
CARD10	KDM1A
SEC23B	TFG
SEC23B	EIF3I
NFKB1	HDAC4
ZNF837	PCSK5
HDAC4	TPM3
NME2	BCAT1
KRTAP10-9	THAP10
MAFG	TPM3
CORO6	AR
GNGT1	HRH4
KIF15	CEP126
FTSJ3	PES1
JMJD1C	AR
C17orf82	FHL5
TPM3	AR
KDM1A	AR
