#tail	head
TLL2	ETS2
DYNLL1	ZMYM3
DYNLL1	RPS27
DYNLL1	CAPZB
DYNLL1	IQCB1
DYNLL1	NEK9
DYNLL1	BIRC5
DYNLL1	RAE1
DYNLL1	KIF2B
DYNLL1	PAFAH1B1
DYNLL1	CENPM
DYNLL1	BUB1B
CCT3	GAN
CCT3	NAPA
CCT3	TTC8
CCT3	HSF1
CCT3	SLC25A1
CCT3	GANAB
CCT3	QKI
CCT3	SEMA7A
CENPM	BUB1B
CENPM	PAFAH1B1
CENPM	BIRC5
CENPM	RPS27
CENPM	KIF2B
TTLL6	SLC1A2
TTLL6	FOXF2
ETS2	PAFAH1B1
ETS2	CPA2
ETS2	SLC9A9
ETS2	NKX2-1
ETS2	BUB1B
FOXF2	RPS27
FOXF2	BMP4
FOXF2	NKX2-1
FOXF2	CPA2
TTC8	IQCB1
SLC1A2	SLC9A4
SLC1A2	SLC9A9
SLC25A1	BMP15
SLC25A1	GANAB
SLC25A1	TGFB1
SLC25A1	CAPZB
BMP15	TGFB1
BMP15	BMP4
PSMB6	IQCB1
PSMB6	BUB1B
HSF1	CPA2
HSF1	CDK6
BMP4	NKX2-1
BMP4	WFIKKN2
BMP4	TGFB1
NEK9	RAE1
TGFB1	GANAB
TGFB1	RPS27
TGFB1	WFIKKN2
PAFAH1B1	RPS27
PAFAH1B1	IQCB1
PAFAH1B1	BUB1B
PAFAH1B1	BIRC5
PAFAH1B1	CAPZB
PAFAH1B1	KIF2B
RBM11	QKI
RBM11	SNRPA
SEMA7A	RAE1
SEMA7A	NAPA
SEMA7A	GANAB
SEMA7A	HNRNPC
NKX2-1	SNRPA
NKX2-1	RAE1
SLC9A9	RXRA
SLC9A9	SLC9A4
GAN	ZMYM3
GAN	HNRNPC
NAPA	CAPZB
NAPA	RAE1
NAPA	GANAB
NAPA	HNRNPC
CDK6	ZMYM3
QKI	SNRPA
SNRPA	HNRNPC
HNRNPC	RAE1
WFIKKN2	RXRA
RAE1	BUB1B
RAE1	BIRC5
CAPZB	KIF2B
KIF2B	BUB1B
KIF2B	BIRC5
KIF2B	RPS27
BIRC5	BUB1B
BIRC5	RPS27
RPS27	BUB1B
GANAB	BUB1B
