#tail	head
SGO2	SLC25A13
KDM8	DDIT4L
ABLIM3	RAC1
NEK2	CEP164
STOM	TRIP6
STOM	RAC1
TEC	VAV1
WBP4	HNRNPD
IRAK4	AGER
CD80	VAV1
CD80	RAC1
BYSL	UTP14A
BYSL	CSNK1D
BYSL	CCDC33
BYSL	CHD3
BYSL	RPS27L
BYSL	APP
BYSL	ZNF746
HGS	HNRNPM
CCDC106	APP
RPL9P7	RARA
SDC4	YBX1
SDC4	HIP1
KHDRBS1	VAV1
HIP1	APP
MT-CO2	RAD21
RPS27A	CSNK1D
RPS27A	KBTBD7
RPS27A	HUWE1
RPS27A	APP
HUWE1	FBXW11
HUWE1	HNRNPK
HUWE1	WWOX
EREG	RAC1
EREG	IGHV2-70
EREG	AP2M1
RPL3L	RPL22
RPL3L	APP
IGHV2-70	IGLV3-25
TCF19	HOXA1
CCDC33	HOOK2
ALPP	LEFTY1
MTMR1	PIP4K2B
KCND1	NKAIN4
CCDC50	MYH9
WRN	POLR2B
HNRNPM	RPS6
HNRNPM	DGCR8
HNRNPM	PRCC
SLC25A13	THRAP3
SLC25A13	SLC25A1
SH3GL1	HNRNPD
SH3GL1	HNRNPK
SECISBP2	RPS6
NKAIN4	SLC1A6
PPARG	SPTAN1
WWOX	POLR2B
WWOX	ZIC1
RAC1	VAV2
RAC1	PIP4K2B
THRAP3	CHD3
THRAP3	RARA
RARA	RPS3
ZNF324B	ZNF689
UTP15	RPS6
RASA4	AKT2
RASA4	IGFBP5
NR0B2	AGER
DDX54	CENPJ
SEPHS1	HNRNPD
SPTAN1	CSNK1D
SPTAN1	QPRT
PIMREG	APP
HNRNPD	YBX1
GPAT4	TES
DRD2	SST
DDIT4L	QPRT
YBX1	CHD3
AP2M1	KBTBD7
RPS6	CHD3
RPS6	CSNK1D
MAD2L2	PRCC
RAD21	RPS3
CERS4	PPARA
DDX18	NCL
DGCR8	APP
SRSF5	SEPT2
CLDND1	SEPT2
