#tail	head
LNX1	SPERT
NOX4	MYC
FXYD1	KCNJ9
TRIM21	MYC
PTCD3	NSA2
PTCD3	FBXW11
SPTAN1	PAX4
SPTAN1	ATP7A
PIK3R5	GNG11
SRSF6	POU2F1
WNT7A	CALR
WNT7A	AGTR1
HIST3H2BB	CALR
HIST3H2BB	HIST1H4A
HPRT1	EFCAB3
ATP7A	PRNP
ATP7A	CAT
SRRT	CALR
MAP3K10	GARS
MAPK9	BACE1
P3H1	L2HGDH
P3H1	GOT2
P3H1	MYC
UNK	DHX36
EFNB1	SH3GL2
EFNB1	JAK1
MYC	CALR
MYC	PRNP
PYHIN1	NR2F2
PYHIN1	HNRNPR
TRAF6	CAT
TRAF6	DUPD1
AGTR1	FBXW11
FLNA	FBXW11
JAK1	GFI1
JAK1	ITK
SH3BP2	CD3D
SYT11	SH3GL2
PIP5K1C	IGHV2-5
KIF20A	FBXW11
TAF1	POLE4
PAX4	EIF4A1
PAX4	DCTN4
PRNP	CAT
BCAT1	L2HGDH
