#tail	head
TMEM71	NOG
ASAP1	CBL
APBB1	TUBB
TMEM209	TUBA1C
ESRRB	RPS3
ESRRB	SLC25A5
FOXO4	FRMPD1
FOXO4	APP
FOXO1	SLC45A4
FOXO1	PML
IFNA6	APP
PIP5K1B	PIK3R3
PIP5K1B	SMURF1
PIP5K1B	CBL
HIST1H4K	APP
NOG	NTRK1
NOG	CPM
NOG	LYVE1
NOG	IL17RA
NOG	JAK1
TUBB	SMURF1
TUBB	CBL
IGHV1-2	SOS1
APOB	ARPC1A
APOB	EGFR
AKAP2	PDHA1
RPS3	RPS11
RPS3	CTNNB1
SMURF1	APP
SMURF1	SLC25A5
IL17RA	IL18
RPS11	SLC25A5
RPS11	CTNNB1
SLC39A9	HRNR
CLCN7	ZNF585A
JAK1	EGFR
HDAC2	SERPINH1
LDHB	CTNNB1
HNRNPF	NTRK1
TEX10	RUVBL1
ARPC1A	PIK3R3
DNAAF5	EGFR
STX1A	TFCP2
RUVBL1	GNAS
RUVBL1	NPM1
FCHO2	SPINT1
FCHO2	KIAA0319
HIP1R	NTRK1
AGTR2	IL12A
PDHA1	NTRK1
PDHA1	APP
CBL	SOS1
CBL	NTRK1
NTRK1	CTNNB1
SH3GL3	PIK3R3
SLC45A4	CLU
APP	CTNNB1
MYO1D	EGFR
MYO1D	SERPINH1
NPM1	PML
NPM1	SLC25A5
TXLNB	CALCOCO1
DKK3	SLC25A5
CLU	CTNNB1
CALCOCO1	SERPINH1
EGFR	GNAS
MAFG	TUBA1C
HBA1	CPM
HBA1	IGHG1
