#tail	head
SELENOI	PLCE1
AQP1	FAM161A
AQP1	LEF1
AQP1	RNF122
ENTPD4	E4F1
ENTPD4	NOG
G3BP1	LEF1
G3BP1	TP53
NHLRC1	FOXM1
NHLRC1	UBE2N
UBE2N	DCLRE1C
XAGE1E	E4F1
XAGE1E	ZNF574
TP53	CENPX
TP53	XRCC5
TP53	GAPDH
TP53	DNAH6
TP53	IGBP1
TP53	CACNG2
APOB	NOG
APOB	GPC2
APOB	FADS2
NOG	SMAD1
NOG	ST8SIA4
NOG	PAX5
NOG	PDPN
NOG	NRXN1
NOG	LARGE2
NOG	TCF3
NOG	TPM1
XRCC5	HSPB1
DKKL1	GALNT7
IGBP1	HSPB1
PAX5	LEF1
CKMT1A	LEF1
ITGB5	LEF1
LMO4	PPP1R32
LMO4	FOXM1
LMO4	LEF1
SERTAD3	C1orf216
ZNF574	IFFO1
SGCB	NINJ1
SGCB	MAL
SRD5A3	FAR2
FBXO3	ATF2
RREB1	TIMP3
SLAIN1	LEF1
CACNG2	SMAD1
TCF3	STXBP1
TCF3	MACF1
TCF3	ATF2
TCF3	TRPV3
PRKCD	HSPB1
LEF1	FOXP4
LEF1	SMAD1
ZBTB1	HSPB1
ZBTB1	FAM161A
ATF2	HIST1H2BB
TMCO5A	GOSR2
CENPX	HIST1H2BB
B3GALT6	GPC2
