#tail	head
BMP7	MAZ
EPX	LOX
FBXW4	SLX4IP
FBXW4	RCAN1
INHBC	FKBP1B
IL4I1	PLOD1
GTF2A1	SMARCA4
GTF2A1	LEF1
TNNT1	MORF4L1
HNRNPK	PIN1
HNRNPK	LEF1
PIP5K1B	FRS2
PIP5K1B	IGLV6-57
PIP5K1B	KLRK1
PIP5K1B	MTM1
TRIOBP	SLBP
MOGAT1	INS
MYC	BCL9L
MYC	NUP93
MYC	AR
MYC	HSPA4
POM121C	HSPA4
IGLV6-57	DAGLB
IGLV6-57	VAV1
KLRK1	VAV1
KLRK1	NCKAP1L
KDR	MTM1
KDR	FGF6
KDR	VAV1
HIST2H4B	BRMS1
HIST2H4B	MORF4L1
HIST2H4B	FBXO6
HIST2H4B	BCL9L
POR	INS
HIST1H2BN	BRMS1
MAZ	MRC2
MAZ	TRAF4
MAZ	COL18A1
MAZ	YWHAZ
LEAP2	GATA3
FGF6	FCGR3A
SMARCE1	SMARCA4
SMARCE1	BRMS1
DRAP1	INS
NCKAP1L	FCGR3A
PRKCA	GRIA4
PRKCA	INS
PRKCA	AR
PRKCA	YWHAZ
INS	MAPKAPK2
INS	ERCC4
NUP93	CIAO1
NUP93	HSPA4
LEF1	BCL9L
LEF1	YWHAZ
LEF1	PARVB
LEF1	AR
PIN1	YWHAZ
MTM1	CIAO1
VAV1	AR
WT1	HSPA4
TYROBP	FCGR3A
BCAT1	HPD
CORO6	AR
OTP	AR
COL4A5	PARVB
COL4A5	COL18A1
GTF2H3	SMARCA4
GTF2H3	AR
