#tail	head
C14orf119	HMX1
PDE6D	GUCY1A1
TYR	CD28
TYR	FN1
CENPI	H2AFZ
CENPI	CENPL
CENPI	HIST1H2AA
HIF1A	FN1
DDX6	FN1
VPS37C	APP
HLX	ZYG11B
H2AFZ	CENPO
H2AFZ	HOXD4
UBTD2	HOXB5
MCCC2	SUCLG2
MCCC2	HLCS
FPR3	GNA11
CENPL	ZFP91
CENPL	CENPO
NXF1	CLSTN3
NXF1	USP5
HMX1	SLC25A28
HIST1H2AA	HIST1H2BD
HAUS1	HGS
STOML2	SIRT7
STOML2	OGA
TXNIP	CD28
SPDEF	FAM161B
C1orf35	SRPK2
OGA	RAB5A
OGA	LEF1
CD28	CXCL8
RIN3	CXCL8
ITPKA	GNA11
USH1G	CXCL8
USH1G	FAM161B
APP	PDGFA
APP	CXCL8
LEF1	ZFP91
GNAI3	RGS20
AHNAK	FN1
BAZ2A	HIST1H2BH
FN1	FEN1
UBE2I	SIGMAR1
USP22	HIST1H2BH
