#tail	head
ACTG1	IKBKG
SLC8A1	SLC5A5
ZNF577	LYN
IGHG3	IRS2
KPRP	MMRN1
MCL1	ABCC1
GAPVD1	NTRK1
TRIM28	HDAC1
YAP1	INS
SLC9A4	AHCYL2
RBFOX2	INS
RBFOX2	MSI2
RBFOX2	NTRK1
FLT3	PTPRA
SLC12A1	KCNH7
SLC12A1	PITX2
SLC12A1	CFTR
AHCYL2	SCNN1G
AHCYL2	NSD3
IRS2	LYN
IRS2	EGFR
PSMA3	NTRK1
PSMA3	FKBP8
IGHG2	LYN
IGHG2	TYROBP
CST6	BCAR3
BCAR3	NSD3
HNF4A	CENPO
HNF4A	CNTFR
HNF4A	H2AFX
LDHB	RHEB
PINK1	ABCB1
SMARCC2	CFTR
SMARCC2	NTRK1
RASGRP2	IGKV1-33
RASGRP2	SHC1
RASGRP2	IGHV2-70
NGF	SHC1
ABCB1	EGFR
ABCB1	ABCC1
ABCB1	NTRK1
ABCB1	INS
INS	KITLG
INS	ABCC1
INS	FZD2
INS	A2M
JPT2	CNTFR
PITX2	ATF2
NTRK1	EGFR
NTRK1	ABCC1
IKBKG	TNFAIP3
REST	HDAC1
FKBP8	CFTR
FKBP8	EGFR
SLC6A11	SLC12A7
FXYD3	HTR3D
FXYD3	SLC12A7
EGFR	TBK1
ATF2	H2AFX
HDAC1	ABCC1
SLC12A7	GABRR2
