#tail	head
TIMM22	TOMM7
PLPP2	UNC119
HNRNPC	SUMO1
PLA2G4C	LPCAT4
HLF	SUMO1
PPP2R1A	MTMR3
TOMM40	CISD1
PIK3R1	EEF1D
PIK3R1	GRB2
PIK3R1	IGHV3-13
AANAT	TAZ
CD3G	HGF
CD3G	VAV1
LPCAT4	PLD6
KIT	GRB2
HIST2H2BF	HIST1H3I
FABP4	OAZ3
MTMR3	RUNX2
MTMR3	PPP2R5A
ZMIZ1	AHR
SREBF2	RUNX2
SREBF2	HNF4A
HGFAC	HGF
STMN1	EEF1D
PFN1	HNF4A
HIST1H3C	DPY30
NUP88	HIKESHI
DGKD	PLCH1
SHC4	GRB2
FASN	CD36
HNF4A	MED21
HNF4A	HIST1H2BE
HNF4A	SELENOM
HNF4A	HDGF
HNF4A	CTNNB1
JADE3	HIST1H3I
IGF2R	HGS
HGF	GRB2
SUPT3H	HIST1H3B
MED21	CD36
MED21	MED13L
BRCA1	HIST2H3C
BRCA1	SUMO1
HIST2H3C	TADA3
HIST2H3C	CTNNB1
HIST2H3C	ATF7IP
HGS	INPP4A
HIKESHI	RCVRN
GRIK5	RHO
HIST1H2BE	TAF9B
HIST1H2BE	HDGF
SUV39H2	GRB2
AHR	CTNNB1
GRB2	F2RL2
GRB2	PRKCZ
GRB2	PSMD11
HDGF	HIST1H4C
HIST1H3I	CTNNB1
PLIN3	IMPA2
CTNNB1	CD3D
CD3D	PLEKHA1
CD3D	RUNX2
