#tail	head
CYSRT1	BEX2
RANGAP1	TMUB1
RANGAP1	TRIM14
NKAP	PNN
NKAP	DDX41
SLC38A3	DLG4
LEP	STAT5B
LEP	MYC
LEP	SRD5A1
LEP	CLU
SCN1B	SPTBN1
QSOX2	GPX3
SPTBN1	PNN
SPTBN1	GNPDA1
SPTBN1	CLU
SPTBN1	INS
SPTBN1	DDX41
PDE6G	GUCA1C
PDE6G	GUCY1B1
PDE6G	NADSYN1
STAT5B	POLDIP3
STAT5B	MYC
STAT5B	TYK2
STAT5B	SMC4
MYC	INS
MYC	CAT
MYC	TYK2
MYC	SMARCA5
MYC	SMC4
MYC	ETV4
MYC	DDX41
SMARCA5	PYGO2
SMARCA5	SMC4
SMARCA5	HIST4H4
EPHB3	TPTE
PCYOX1	CAT
PCYOX1	CLU
DLG4	INS
DUSP4	TYK2
HIST4H4	PYGO2
HIST4H4	SMC4
DDX41	POLDIP3
DDX41	ALYREF
LOXL1	GPX3
LOXL1	CAT
INS	CAT
INS	MYO1C
INS	DUSP9
INS	SLC2A3
INS	GNPDA1
INS	GUCY1B1
ALYREF	POLDIP3
PDE5A	NADSYN1
TYK2	TPTE
AOC2	GNPDA1
CLU	SELENBP1
SLC5A10	SLC2A3
NADSYN1	FAR1
