#tail	head
LATS1	AURKB
RTF1	WAC
PROX1	HSD17B4
SSR1	FH
SSR1	RRBP1
SSR1	RPL3L
ERO1B	SP1
ZFX	SP1
MAP4K3	YY1
SEC11A	SP1
LARP7	HNRNPU
TCAP	HSPB3
AURKB	RPL10
RPL26	RPL10
MYC	RPL37
ZHX1	ZHX2
NRGN	SP1
YY1	RPL10
NF1	POLR2A
NF1	NACA
RPL29	NTRK1
RPL29	HNRNPU
RPL29	POU5F1
RRBP1	HIST1H1C
RRBP1	FH
RRBP1	NACA
RRBP1	SP1
MAZ	GATA3
MAZ	CBLB
MAZ	MAFG
PGR	HSD17B4
RYK	PPM1B
RYK	PTPN4
CCDC198	SPERT
SP1	HSD17B4
SP1	PATJ
SP1	FH
SP1	SPEG
SP1	POU5F1
IQGAP3	ESR2
POU5F1	HSD17B4
CBLB	NTRK1
NTRK1	RPL10
NTRK1	PTPN4
RIOX1	RPL10
HSD17B4	ESR2
MT-CO2	ESR2
HNRNPU	NIP7
CCDC57	FH
PTPN4	GRIN2A
NIP7	ESR2
ESR2	RPL3L
