#tail	head
SLC27A5	LPCAT1
TOMM6	BCS1L
TOMM6	SLC11A2
FANCA	DDIT3
FANCA	CXCL8
NRF1	NDUFAB1
NRF1	JAGN1
NRF1	RDH10
NRF1	PALB2
RASGRP3	MEF2A
FES	PIK3CA
GYS2	PPP1CA
GYS2	A4GALT
ANAPC16	OGA
LCE1F	LCE3B
LCE1F	TLX2
TIMMDC1	YME1L1
DUSP15	NTRK3
PARL	CA10
NTRK3	PTPRE
NTRK3	STAT3
FAU	RPL38
FAU	UPF1
FAU	RPS29
PIGP	A4GALT
SLC20A2	FXYD2
ABL1	PTPRE
ABL1	REPIN1
PIK3CA	HSPA4L
SLC38A2	DDIT3
IL12A	RDH10
IL12A	HSD3B1
IL12A	STAT3
DDIT3	MCC
DDIT3	MT2A
DDIT3	KMT2D
MGAT3	UGT2A3
MOBP	SDCBP
ALG13	UGT2A3
ALG13	SLC35D2
SLC11A2	RTN4
PI3	LCE3E
ZBTB18	SEPT3
ZBTB18	GRIN2D
ZBTB18	MEF2A
UGT2A3	HBA2
ANP32B	SDCBP
REPIN1	GRIN2D
REPIN1	BNIP3
REPIN1	CACNA2D3
OGA	MDC1
OGA	SGTA
HBA2	KRT34
MTAP	EYA3
MTAP	ABCB1
PRMT1	HIST2H3D
SUZ12	SPRR2G
SUZ12	UPF1
SUZ12	HIST2H3D
ABCB1	CYBB
ABCB1	NOVA1
ABCB1	CXCL8
ABCB1	SLC31A2
UNC80	CXCL8
SGTA	FXYD2
IER3IP1	TMEM128
EYA3	TWF1
LCE3E	TCHH
LCE3E	SPRR2A
MSH2	STAT3
LMO2	GFRA3
GRIN2D	STAT3
GRIN2D	MEF2A
GRIN2D	MYH11
AGA	SLC1A5
KRTAP10-5	LCE3B
TMEM128	BCS1L
SLC31A2	CXCL8
NOVA1	MT2A
RPS21	RPS29
IRF9	STAT3
SLC20A1	SLC1A5
CACNA2D3	CXCL8
PPP1CA	PPP1R27
CXCL8	ALDH1A1
RDH10	ALDH1A1
MT2A	SERPINA6
MYL2	MEF2A
