#tail	head
PTMS	DSTN
ACTG2	CATSPER4
ACTG2	ITGB5
ACTG2	RPL7A
ACTG2	GRIK2
ACTG2	CATSPERD
ACTG2	MYL10
ACTG2	CATSPERB
ACTG2	TCOF1
CATSPERB	TRIM72
CATSPERB	ITGB5
CATSPERB	PRKCD
CATSPERB	MYL10
CATSPERB	CATSPER4
CATSPERB	NFATC2
PKP3	HNRNPL
PKP3	GTSE1
IRF7	OSM
MYLPF	CATSPERD
MYLPF	GRIK2
MYLPF	ITGB5
DSTN	ISG15
DSTN	PGR
SPZ1	TIAM1
ISG15	HNRNPL
TIAM1	ITGB5
TIAM1	PRKCD
NFATC2	CATSPERD
NFATC2	SCARA5
ITGB5	CATSPERD
ITGB5	GRIK2
ITGB5	HNRNPL
PGR	NRIP1
PGR	GSN
PGR	GNRH1
PGR	FSHB
NRIP1	HNRNPL
NRIP1	AKR1C3
PCSK9	DNAJA3
PCSK9	LDLR
PRKCD	CATSPER4
GRIK2	MYL10
GSN	AKR1C3
GSN	FSHB
DNAJA3	AKR1C3
MYL10	CATSPERD
MYL10	CATSPER4
AKR1C3	GNRH1
AKR1C3	PSME3
AKR1C3	FSHB
TCOF1	HNRNPL
CATSPERD	TRIM72
CATSPERD	CATSPER4
TRIM72	CATSPER4
