#tail	head
KIF1A	RAB1B
RBX1	AHR
RBX1	RPA3
RBX1	POLK
NTRK2	AKT2
GAS2	HNRNPA3
BZW2	NXT1
RXRA	SMARCA4
RXRA	AHR
HNRNPA3	NUDT21
HNRNPA3	HEMGN
HNRNPA3	RPA3
RPA3	RAVER1
FGF23	GNG10
FGF23	IGLC7
IGKV5-2	GNG10
IGKV5-2	AKT2
IGLC3	KLRD1
CBX4	MAPK11
TOMM22	EWSR1
TOMM22	NUP93
FPR1	CCL20
TNKS2	PSMD6
TNKS2	SOX5
MAPK11	AKT2
MAPK11	AKT3
CDH1	BAG3
SPAG9	SOX5
DNASE1L3	ACE
NCOR1	TFDP1
NCOR1	BPTF
ANKS1A	AHR
BCL10	HEMGN
WASF1	GNG10
WASF1	TFDP1
FGF2	GPX1
PAX4	SOX5
PAX4	AHR
ADAMTS9	TFDP1
HAGH	GPX1
ACTA1	PRKCE
NUP98	NXT1
AHR	SMARCA4
AHR	CCL4
NUP214	NXT1
NUP214	MAGOH
NXT1	MAGOH
MAP1B	MAGOH
RAVER1	TFDP1
CCL4	ACE
EWSR1	ACE
EWSR1	NUDT21
AKT2	KLRD1
