#tail	head
IBTK	TCTE1
PLK4	MKS1
PLK4	MTUS2
PLK4	SMAD4
PLK4	CEP162
PLK4	CDK5RAP2
TCTE1	ARFGAP3
TAS1R3	GNG4
TAS1R3	TAS1R2
TAS1R3	GGT6
SMARCE1	PGR
SMARCE1	SMAD4
SMARCE1	HIST2H3A
SMARCE1	MTUS2
SLC17A8	GGT6
SLC17A8	NME5
STOML2	NUDC
STOML2	PAX4
STOML2	FUS
STOML2	MTUS2
STOML2	NAPG
STOML2	CFTR
SLC38A5	NME5
SLC38A5	PAX4
SLC38A5	SPTLC3
SLC38A5	MYC
SLC38A5	CTH
SLC38A5	SPTLC2
CEP162	TRIM26
CEP162	CDK5RAP2
CEP162	MKS1
CDK5RAP2	MKS1
CDK5RAP2	MYC
MCRS1	ZIC2
MCRS1	SMAD4
MCRS1	KRTAP10-7
GNG4	CHRM3
GNG4	EDNRA
GNG4	CHRM4
GNG4	TAS1R2
STX18	NAPG
STX18	CHRM3
KCNH2	MYC
KCNH2	PAX4
KCNH2	ATP12A
KCNH2	MAZ
SPTLC2	CFTR
SPTLC2	SPTLC3
SPTLC2	AACS
SPTLC2	MYC
SPTLC2	CTH
NCAPG2	MYC
NCAPG2	HIST2H3A
NCAPG2	FUS
SPTLC3	AACS
SPTLC3	CTH
MTUS2	NAPG
MAZ	THPO
MAZ	PGR
MAZ	FUS
MAZ	TSPAN7
MAZ	MYC
MAZ	ZIC2
CHRM3	CAND2
TRIM26	ARFGAP3
TRIM26	ZNF223
NDC80	CENPO
NDC80	ZIC2
NDC80	MYC
NDC80	NUDC
NDC80	INCENP
NDC80	CENPA
CAND2	CHRM4
PAX4	CFTR
PAX4	THPO
PAX4	CLVS1
PAX4	ZIC2
TSPAN7	ATP12A
TSPAN7	CHRM4
NAPG	FUS
NAPG	NUDC
MYC	HIST2H3A
MYC	CFTR
MYC	MAEL
MYC	NUDC
MYC	SMAD4
MYC	EDNRA
MYC	PGR
NME5	CTH
NME5	AACS
CFTR	THPO
CFTR	VGLL3
ARFGAP3	MKS1
PGR	ATP12A
VGLL3	KRTAP10-7
KRTAP10-7	ZNF223
CENPO	INCENP
CENPO	CENPA
CENPO	NUDC
INCENP	NUDC
INCENP	HIST2H3A
INCENP	CENPA
MAEL	NUDC
EDNRA	THPO
SMAD4	CLVS1
CENPA	NUDC
NUDC	MKS1
ATP12A	CLVS1
