#tail	head
C14orf119	DDIT4L
TFAP4	RAN
TFAP4	OTOF
MDM2	ICAM1
MDM2	CAMK2A
MDM2	PSMA3
MDM2	RPS27L
MDM2	NR3C1
SSR1	IDH1
SSR1	SLC3A2
SSR1	SGF29
SSR1	RBBP5
FOXO4	KRT34
FOXO4	MFGE8
ITSN2	SGIP1
TRAF2	MAP2K3
TRAF2	ZNF23
FBL	SMN2
FBL	ZNF512
FBL	RPS14
BBS9	CCT5
CBX1	NR2F6
CBX1	RPS14
PEX10	TRIM25
SEC61B	RPS27L
SEC61B	ARL6
F2	CASP4
F2	UCP1
F2	GFAP
F2	GRK2
SSTR3	HSPA4
EFCAB2	NOG
BRD4	POLR2A
RBMX	NOG
BACH2	ZBTB43
BACH2	RIT1
TUBB1	HTT
ATAD3B	ZNF598
TMEM97	CLDN7
CD40LG	BCL2
SNUPN	RNF126
SNUPN	RAN
CCT2	HSPA4
HTT	GAPDH
HTT	SLC31A2
YARS	WDR5
YARS	ZIC2
MAFG	SZT2
MAFG	LMTK2
PARP1	GAPDH
SGF29	SMTN
E4F1	SGIP1
E4F1	LMTK2
E4F1	BRAF
E4F1	CLDN7
E4F1	POLR2A
E4F1	PLPBP
RLF	KRT16
HOXA2	PSMA3
HEATR1	RPS14
GPC3	NOG
TRIM25	BRAF
TRIM25	RPRD1B
TRIM25	RC3H2
TRIM25	EIF2S2
INTS3	POLR2A
HP	GABBR1
ELF4	NOG
SLC34A2	LMTK2
SLC17A1	SLC3A2
PRKCI	CHUK
SMARCD1	POLR2A
SMARCD1	KEAP1
GABBR1	CCR10
KLHL6	CUL3
BCL2	PMAIP1
BCL2	NOG
PSMA3	GAPDH
ELOA2	POLR2A
SLC3A2	SLC1A6
IDH1	RPRD1B
IDH1	SORBS2
IQCN	PPP6R1
WNT5A	IRF1
SRPK2	WDR5
AHNAK	SEPT2
RPS27L	EIF3E
NUP54	SNRPG
RPRD1B	POLR2D
RBBP5	RUNX1
RBBP5	TAF6
RBBP5	COPS4
UBE2Q2	CUL3
KRT84	FOXL1
RAD9A	PCNA
NKAIN1	GAPDH
PYHIN1	KEAP1
POR	KEAP1
DDIT4L	PCNA
TMEM42	GPR152
COPS4	PSMD3
GAPDH	EIF3H
SMTN	PCNA
SMTN	NCL
NR3C1	FOXL1
POLR2A	WDR5
NUP205	FOXL1
CHUK	SMN2
RPS14	IMP4
SMN2	NCL
WDR5	SEPT2
PPIH	CUL3
ICAM1	EIF3E
CUL3	PCNA
ZNF292	GFAP
