#tail	head
RANBP1	MDM2
ZBTB39	SUMO2
ZBTB39	CIAO3
BAG6	RAB8A
MDM2	CDKN2A
MDM2	RAB8A
MDM2	CCNG1
NDE1	RAD21
NDE1	HAUS4
NDE1	RAB8A
BUB1	RAD21
BUB1	KIF2C
BUB1	DYNC1LI2
CEP170	CEP72
CEP170	SLAIN2
CEP170	CEP131
CEP170	KIF2C
CEP72	HAUS4
DYNC1LI2	DIAPH2
DYNC1LI2	KIF2C
DYNC1LI2	RAD21
CIAO3	POLD1
CCNG1	HECTD3
CCNG1	CDKN2A
RAB8A	CEP131
RAB8A	HAUS4
PTPRK	HBEGF
KIF2C	RAD21
MAZ	SLC2A1
MAZ	GALE
MAZ	RAD21
FGG	FN1
POLD1	SLC2A1
SLC2A1	FN1
SLC2A1	HECTD3
CDKN2A	FN1
FN1	RPS15A
FN1	GALE
GALNT2	RPS15A
CEP131	HAUS4
GALNT18	GALE
