#tail	head
NR1H3	KDM1A
MYO1E	DNM1
RPL22L1	RPL10
DNM1	UBASH3A
HNRNPH1	CCT5
HNRNPH1	NCBP1
HNRNPH1	ALYREF
HNRNPH1	PPIE
CCT5	ESR2
HNRNPF	AAR2
HNRNPF	SNRPB2
HNRNPF	FBXO25
RAP1GDS1	NTRK1
NKIRAS2	SMN1
ATR	ATRIP
FAU	ALYREF
FGF2	CYBA
FGF2	SDC4
ALYREF	SNRNP200
ALYREF	NTRK1
ALYREF	RPL10
ALYREF	HSPA8
ALYREF	SNRPB2
EFEMP1	POLR3C
EIF4A3	SNRPB2
EIF4A3	PRPF6
EIF4A3	RPS2
SDC4	REL
SMAD1	NEDD4
SMAD1	ATM
SMAD1	SMAD5
RPL26L1	ESR2
PICK1	REL
HEXIM1	HSPA8
RLF	CDC45
WBP11	PPIE
WBP11	NCBP1
WBP11	ESR2
WBP11	SNRNP200
WBP11	NTRK1
KDM1A	SMARCD1
ESR2	PGK1
ESR2	ESRRA
HSPA8	SNRPB2
HSPA8	SRRT
HSPA8	NCBP1
HSPA8	DIAPH1
HSPA8	EPGN
HSPA8	MCM4
PRMT3	RPS2
TRA2B	NTRK1
TRA2B	SNRPB2
TRA2B	NCBP1
SMARCD1	NTRK1
SMARCD1	GRB2
U2AF1	RPS2
U2AF1	SNRPB2
U2AF1	RPL10
NXF2	ZNF324
ELOA2	ATM
ELOA2	AFF4
ELOA2	NELFB
KIAA1143	SNRNP200
NCBP1	SNRPB2
NCBP1	RPS2
NTRK1	RPL10
NTRK1	DVL2
NTRK1	DIAPH1
PRNP	GRB2
GRB2	PDGFB
GRB2	LAT
GRB2	REL
H3F3C	RPL10
REL	TUT1
POLR2G	POLR2D
FRG1	SNRPB2
PPIE	SNRNP200
PPIE	RPL10
PPIE	ATM
CBWD1	C2orf48
SRRT	SMN1
SRRT	SNRPB2
GAS7	DIAPH1
SNRNP200	AAR2
SNRNP200	FOXG1
LAT	IGKV3-11
AAR2	SLC25A1
AAR2	RPL10
KRTAP10-3	IL2RG
KRTAP10-3	KLK15
ATM	CDC45
SNRPB2	RPL10
