#tail	head
SDCBP	NRXN1
ATP2A2	CFTR
ATP2A2	CHRNA1
ATP2A2	CACNG6
ATP2A2	APP
ATP2A2	JUN
PSMB8	PPP2R1A
PPP2R1A	JUN
PPP2R1A	SORBS2
PPP2R1A	CEP76
RANGAP1	ARPC1B
RANGAP1	JUN
NOP56	RIOX1
NID2	LAMA3
GNG13	INPPL1
MT2A	HSPA1A
MT2A	BLOC1S6
CEP104	HAUS6
CACNA2D2	CACNG6
CACNA2D2	CHRNA1
CACNA2D2	USP2
DEFA1	LAMA3
DEFA1	PPP3CA
TYW5	STX7
SOD1	MAPK1
SOD1	PPP3CA
SOD1	CFTR
FLCN	APP
CEP76	PPFIBP1
CEP76	HAUS6
CEP76	PPP3CA
ARPC1B	APP
ARPC1B	SORBS1
LGR4	GCN1
RAB3A	RAB3IP
SNX3	RPRM
INPPL1	SORBS1
INPPL1	CFTR
LAMA3	JUN
INS	MAPK1
INS	CFTR
INS	HSPA1A
INS	RIOX1
APP	MAPK1
APP	JUN
MAPK1	SORBS1
RAB3IP	HSPA1A
CACNG6	SORBS1
CACNG6	PPP3CA
CFTR	RPL32
TFRC	SORBS1
