#tail	head
KPNA2	OBSL1
OBSL1	RBM8A
OBSL1	SRRM2
OBSL1	SRSF2
OBSL1	SRSF9
PPP5C	RACK1
PPP5C	HNRNPA1
PPP5C	SLC25A14
F2RL1	TMBIM1
TXNL4A	CSTF1
TXNL4A	SNRPD3
TP53	SNRPD3
TP53	CDK5R1
TP53	SIRT7
UBR5	GKN1
UBR5	SIRT7
H2AFV	HIST1H3F
SETD1A	PSMC5
SETD1A	HIST2H4B
SETD1A	YBX1
RBM8A	SMNDC1
RBM8A	CWC22
RBM8A	PLRG1
NTS	HTR3B
NTS	MEF2A
HNRNPR	RNPS1
HNRNPR	CSTF1
PTK2B	PTPRF
GKN1	SLC2A1
CSTF1	SRSF2
ACTN1	COL4A5
TNKS2	PSMB6
HOXA9	ATP2B3
HOXA9	MEF2A
DCN	HIST2H4B
DCN	COL4A5
CWC22	SNRPD3
HIST2H4B	PTPRF
HIST2H4B	SMARCA4
RNPS1	PPIL6
RNPS1	SNRPD3
DLST	PLRG1
SFI1	PLRG1
HNRNPA1	HIST1H3F
HNRNPA1	SRSF9
SIRT7	RPS23
SIRT7	INA
SIRT7	SRSF2
YBX1	SMTN
YBX1	PLRG1
YBX1	SF1
YBX1	DDX21
CACTIN	SRSF2
SNRPD3	SRSF9
SLC2A1	IL13
SLC2A1	SMTN
SLC2A1	FNDC11
SF1	ELF1
SF1	DDX21
SF1	CALCOCO2
SMNDC1	SRSF9
FAM168A	CALCOCO2
ARHGAP5	RHOF
HIST1H3F	PHF3
PPFIA1	ATP2B3
RHOF	ARHGDIB
DDX21	SRRM2
FNDC11	SSSCA1
VDR	ATP2B3
