#tail	head
GALNS	PRG2
DDIT3	STMN1
DDIT3	HOXA13
HSCB	ZNF622
HSCB	RMDN3
KCTD6	ACTN1
E2F1	DHH
E2F1	ID3
HNRNPDL	NR3C1
HNRNPDL	SRC
XRCC5	CUL3
MEIS1	ENTPD7
MEIS1	SRF
ELN	CAV1
ELN	SHC3
GDF11	GRM6
GDF11	GDF2
ACTN1	COL4A1
ACTN1	CTNND1
ACTN1	SRC
BTK	HSP90AB1
ARSK	SCGB1D1
ARSK	DPEP2
KLHL23	CUL3
KLHL23	HSP90AB1
GRM6	DHH
SHC3	FN1
NF1	STAT6
NF1	SRF
NF1	CUL3
NNAT	NR3C1
CCL17	ACKR1
BGN	ITGA11
BGN	COL9A3
NUDCD3	CUL3
CAV1	FN1
CAV1	CUL3
SRC	CDKN3
SRC	CTNND1
SRC	FN1
CUL3	CTNND1
CUL3	HSP90AB1
NR3C1	ADORA1
RPRD1B	HSP90AB1
HSP90AB1	ERBB4
