#tail	head
USP39	NCBP2
NCBP2	SF3B1
CCT8	HNF4A
GORAB	FBXO7
CDC25C	HRAS
CDC25C	ZNF638
CDC25C	PCK1
PCK1	CA10
ATP7A	PRNP
ATP7A	HRAS
LRAT	FOXC1
APOA2	HNF4A
APOA2	HELZ2
PPP1CB	PIH1D1
PPP1CB	FBXO7
HK3	PKM
SPHK1	ABCB1
SPHK1	IL2
SPHK1	RBM3
NOL9	REPIN1
PKM	STAT3
PKM	ACAT1
PKM	IL1A
PKM	FBXO7
RPS18	FBXO7
TUSC2	REPIN1
FAM53C	HNF4A
DDX5	PIH1D1
DDX5	LSM8
DDX5	PNN
DDX5	RBMX
DDX5	SF3B1
HNF4A	LYPLA2
REPIN1	LRBA
REPIN1	VAMP8
TNFRSF19	FOXC1
PIH1D1	FARSA
PIH1D1	STAT3
PIH1D1	TKT
PINK1	PRNP
RBMX	CUL3
STAT3	IL2
PRNP	IL1A
PRNP	HRAS
NFKB1	CUL3
LRRC41	FHL5
CLTC	RPA1
FBXO7	CAND1
TSHB	VAMP8
APLP1	IL1A
LYPLA2	IL1A
