#tail	head
BMP7	KRTAP3-1
NCOR2	DDX20
NCOR2	NOTCH4
ARHGAP26	PAX6
FYN	GSK3B
FYN	ITGA4
FYN	LAMA3
FYN	TYRO3
FYN	LMO2
FYN	HSP90AA1
FYN	ITK
MAPKBP1	KRTAP4-12
PSPC1	RBM14
TYRO3	HSP90AA1
SP3	ETS2
SP3	BRSK1
SP3	LMO2
UBE2M	PARP1
UBE2M	COMMD5
UBE2M	DDB2
UBE2M	OGA
UBE2M	RHOBTB1
DIS3	OGA
DMBT1	CHD4
DMBT1	COL6A3
FBXO10	CCDC22
FBXO10	HSP90AA1
DDB2	PARP1
UBE2V1	PAX6
CSTF2T	CSTF3
CMTM5	JOSD2
CMTM5	LMO2
NAPG	XRCC1
OGA	PSMD2
OGA	CSTF2
OGA	GSK3B
OGA	HNRNPL
OGA	GTF3C1
OGA	CHD4
GSK3B	PSMD2
GSK3B	DDX20
GSK3B	PSME4
GSK3B	MTOR
ITGB2	LAMA3
YWHAG	ITGA4
YWHAG	LATS2
CDK5	HSP90AA1
CDK5	STAT6
CDK5	ETS2
GTF3C1	POLR2L
GTF3C1	MTOR
LAMA3	ITGA4
LAMA3	HNRNPL
DUPD1	ITK
TAF8	ETS2
TAF8	CCNK
RHOBTB1	HSP90AA1
CHD4	PARP1
CHD4	HNRNPL
CHD4	MTNR1A
XRCC1	HSP90AA1
POLR2L	PAX6
POLR2L	CSTF2
POLR2L	CCNK
MTNR1A	RGS20
MTNR1A	SLC6A3
LATS2	LIMD1
CSTF2	CSTF3
PSME4	LIMD1
PSME4	PSMD2
PSME4	TPP2
TPP2	PSMB11
TPP2	ETS2
ETS2	PAX6
SLC6A3	PARP1
LCE2C	KRTAP4-12
STAT6	ITK
STAT6	CCNH
ITK	HSP90AA1
ITK	PTPRJ
MAOA	HNRNPL
MAOA	LRTOMT
RBM14	ITGA4
LMO2	HNRNPL
PTPRJ	HNRNPL
PTPRJ	MERTK
HSP90AA1	MERTK
