#tail	head
IGHA2	CDK2AP1
BAG4	CUL5
BAG4	MAP1LC3A
BAG4	MAP1LC3B
CDC5L	PLEKHH3
CDC5L	TOP1
CDC5L	ABCF3
CDC5L	CUL1
CDC5L	EGR2
SDHAF2	STAT5B
FAM214B	EGR2
ALPP	SULT1A1
SLC43A1	ETV4
HIST1H2AL	BRD8
WDHD1	PLAUR
WDHD1	RBL2
EPRS	GPT
EPRS	CUL1
EPRS	UBA1
PLA2G2A	OGDH
UBA1	UBE2D1
UBA1	USH1C
UBA1	CUL5
STAT5B	CDH1
STAT5B	TMOD3
STAT5B	FGFR3
STAT5B	MYO18A
YEATS4	MYO18A
YEATS4	ATXN2
LZTS2	ARNT2
POLR1C	HIST1H2AJ
MAP1LC3B	PDXK
MAP1LC3B	TUBA1C
MAP1LC3B	MAP1LC3A
MAP1LC3B	SLC25A5
MAP1LC3B	SSB
CDH1	ABCF3
CDH1	PLEKHA7
ATXN2	OGDH
RBL2	TOP1
PRMT1	PLEKHA7
PRMT1	HIST1H2AJ
MIPOL1	REL
SIX4	EGR2
ABCF3	NFE2L1
MAP7D1	SKAP1
ETV4	SRF
ETV4	EGR2
OGDH	SLC7A8
OGDH	ENPP1
CUL5	UBE2D1
CUL5	TUBA1C
A2M	SLC25A5
A2M	AZU1
MYO18A	WDR1
MYO18A	IGLC1
TMOD3	SULT1A1
TMOD3	PLEKHA7
EGR2	SRF
NFE2L1	UBE2D1
NFE2L1	MAFG
NFE2L1	SLC7A8
NFE2L1	FBXO44
MAFG	SLC7A8
TUBA1C	SLC25A5
SLC25A5	CUL1
WDR1	UBE2D1
WDR1	SRF
UBE2D1	TTLL12
CUL1	HIST1H2AJ
CUL1	FBXO44
SRF	CNN2
SRF	NKX2-1
CNN2	PLEKHA7
SLC7A8	ENPP1
