#tail	head
HAND1	FOXO4
PPP2CB	TCP1
PPP2CB	PAFAH1B1
PYGB	ATP6V0A1
PYGB	DUSP3
E2F1	HDAC1
E2F1	TCP1
FOXO4	AGBL5
FOXO4	PLEKHA5
FOXO4	SLC36A2
FOXO4	TP53
FOXO4	BBS4
FOXO4	DDIT4L
FOXO4	STAG1
SLC31A2	APOE
TGFBR1	HDAC1
TGFBR1	RPS27A
TGFBR1	DUSP12
TP53	GSTM2
TP53	ING5
TP53	PPP2R5B
TP53	PHKB
TP53	BCAT1
TP53	WAPL
TP53	HDAC1
BBS4	TCP1
NXF1	RPS27A
NXF1	UPF1
NXF1	ING5
RHOH	HIST1H2BH
LRRC49	TPGS1
DUSP3	PHKB
PLEKHA5	SYDE1
ING5	HDAC1
SLC24A3	SLC4A10
SLC4A10	SLC1A7
SLC1A7	TPGS1
BCAT1	TPGS1
STAG1	PPP2R5B
STAG1	HDAC1
STAG1	HIST1H2BH
STAG1	PAFAH1B1
HDAC1	HIST1H2BH
RPS27A	UPF1
CD3EAP	HIST1H3D
CD3EAP	HIST1H2BH
HIST1H2BH	HIST1H3D
GPT2	GFPT2
