#tail	head
PPP2R2A	RPS3
PLCE1	PIK3CB
PLCE1	GNG7
TCTEX1D1	IFT57
FYN	ITGAE
FYN	SH2D1A
FYN	ACAN
FYN	ESR2
FYN	STAT4
CDKN2C	ESR2
ERO1B	SCGB2A2
HPRT1	SLC16A7
SNW1	ILK
LIMS2	ITGAE
ITPR3	UBC
ADRB2	PIK3CB
ADRB2	PIK3CG
ADRB2	MAPK1
ADRB2	CASP9
ADRB2	MAPK14
MEIS1	PDGFRA
MEIS1	KLHL1
UBC	PARP1
UBC	HADHB
UBC	CHMP6
UBC	PIK3CG
SHC2	PIK3CG
SHC2	ITGAV
IL5	IL1R2
IL5	EDN1
IL5	TBX19
RPS3	ESR2
RPS3	SMURF1
IL3	HMOX1
IL3	JAK1
IL3	PIK3CB
IL3	IFNAR1
SMURF1	JAK1
SMURF1	PDGFRA
SMURF1	MAT2A
SMURF1	AMHR2
RFX1	AMHR2
POMC	GNG7
SLC39A9	PARP1
JAK1	PRKCZ
JAK1	PIK3CB
JAK1	IL1R2
JAK1	MAPK1
SLC24A4	HCN3
LAMP2	MAPK14
EXOC7	MAPK1
TAZ	HADHB
PIK3CG	STAT4
PIK3CG	PRKCZ
PIK3CG	PDGFRA
PIK3CG	PIK3CB
MARS	ESR2
AMHR2	LEFTY1
AKR1B10	LPCAT2
MAPK14	STAT4
MAPK14	IFNAR1
NGB	EDN1
NGB	PARP1
BMP5	FZD1
SST	PDIA2
CHMP2A	CHMP6
ITGAV	ITGAE
ITGAV	ILK
ILK	PARP1
IL1R2	STAT4
IL1R2	ATP2B2
IL1R2	IFNAR1
MAPK1	PARP1
IFT57	IFT140
IFT57	IFT46
HADHB	ESR2
SLC16A7	HMOX1
GPR161	HCN3
IFNAR1	IL12RB2
IFNAR1	STAT4
GNG7	PIK3CB
PRKCZ	STAT4
PRKCZ	ESR2
PRKCZ	ATP2B2
TFF1	ESR2
AACS	LPCAT2
IFT46	WDR34
PITX1	ESR2
TRPC4AP	CHMP6
STAT4	ESR2
ESR2	HMOX1
