#tail	head
KPNA2	NMNAT1
ASH1L	NXF2
ASH1L	HIST1H3E
ASH1L	NOG
ASB4	UBE2Q2
ASB4	UBE2R2
ASB4	AMPD1
RALBP1	SRRT
RALBP1	ABCB1
NOG	DRD4
NOG	GATA6
NOG	HIST1H3E
NOG	ADSSL1
NOG	UBE2R2
NOG	KLHL2
NOG	UBE2Q2
NOG	KIDINS220
NOG	SIK1
CRTC2	HIST1H3E
CRTC2	SIK1
SRRT	U2SURP
SRRT	YBX1
SRRT	UPF3B
UPF3B	U2SURP
UPF3B	YBX1
UPF3B	NXF2
GATA6	GATA1
GATA6	MATN1
GATA6	WNT11
GATA6	RHAG
NMNAT1	SIK1
UBE2R2	KLHL2
UBE2R2	ABCB1
ADSSL1	AMPD1
MATN1	GATA1
YBX1	U2SURP
YBX1	ABCB1
YBX1	GATA1
DRD4	NTF3
DRD4	WNT11
DRD4	ABCB1
KLHL2	UBE2Q2
KLHL2	AMPD1
ABCB1	UBE2Q2
ABCB1	KIDINS220
ABCB1	GATA1
HIST1H3E	GATA1
HIST1H3E	U2SURP
WNT11	GATA1
AMPD1	RHAG
AMPD1	GATA1
GATA1	RHAG
KIDINS220	NTF3
