#tail	head
TFAP4	ITPR3
TAF7	LAS1L
E2F1	CHD4
E2F1	HOXA11
E2F1	SENP3
E2F1	HEY1
E2F1	RAD51
E2F1	RLN2
RAD51	RPA2
RAD51	TP53
RAD51	CST6
H2AFJ	PAXIP1
HIST2H3A	HIST1H3I
HIST2H3A	PAXIP1
TNKS2	RAD54L
WDR48	RPA2
FBXW7	DCUN1D1
FBXW7	PSMD9
FBXW7	SINHCAF
FBXW7	AURKB
TIAL1	CAND1
ATF3	HID1
ATF3	G3BP2
ATF3	TES
FZD10	GNG10
GNB5	IGHG4
PAXIP1	HIST1H2BH
PAXIP1	PITX2
PAXIP1	POM121C
PAXIP1	DDX18
MYO1C	NUP93
MYO1C	HIST1H3I
MISP	SERPINH1
TXNDC11	SOCS3
MKI67	DIDO1
MKI67	CHD4
RPRD1A	ASB6
RPRD1A	NABP2
GNG10	PIK3R6
GNG10	CYFIP1
PLD2	CYP46A1
SPEG	TP53
HSPA8	RB1
HSPA8	PITX2
TP53	CHD4
TP53	XBP1
TP53	IRF7
IGHV3-11	FGFR1
IGHV3-11	IGHG4
TUBA1A	LYN
STAT5B	ATP12A
STAT5B	PITX2
ALDH1B1	ADH1B
DDX60	TES
PITX2	SUFU
PITX2	SHC1
NUP93	BRF2
HIST1H2BO	CHD4
TOMM70	HIST1H2BH
SEC13	MATR3
ERBB3	FGF8
SHC1	IGLV1-47
SHC1	ICOS
SHC1	IGHG4
CASP3	LYN
CASP3	PPARA
CASP3	GH1
MECP2	GH1
ASB4	AMPD3
CAND1	LAS1L
MATR3	E2F3
RB1	E2F3
HAND1	FAM241A
PIK3R6	IGHG4
AMPD3	HIST1H2BH
AMPD3	TTC37
RPA2	DLD
NOL10	CHD4
IGHG4	IGLV1-47
CYFIP1	LYN
FCGR1A	IGLV1-47
CTNNA3	PPARA
DPM1	AURKB
IGF2	PPARA
SUFU	ZNF764
USP34	RBM3
CYP46A1	PPARA
PPARA	MDC1
LYN	FGF8
DLD	ECHS1
GH1	SOCS3
