#tail	head
EPX	GPX4
COPZ2	COG6
COPZ2	CD55
COPZ2	KLC2
CTTN	SNX9
CTTN	EGF
CTTN	AP1M1
CTTN	STON2
GEMIN4	SNX9
STON2	AHCY
STON2	VAMP8
STON2	AP1M1
STON2	EGF
KMT5B	AHCY
RBM12	CBR1
EGF	ABI1
EGF	CXCL8
EGF	IGKV1-16
ALOX5	SREBF2
C8orf48	KRT40
GOLGB1	SREBF2
FGF23	TGFA
FGF23	IGKV1-16
SLC25A13	IFT27
ACOT13	TNN
CBR1	AKR1B1
TNK1	MTM1
KRT1	KRT40
COG6	CD55
FNBP1	SNX9
AHCY	PEMT
RREB1	CXCL8
PHKA2	PLPP4
PHKA2	CYLD
DUPD1	RB1CC1
SNX9	VAMP8
SNX9	TGFA
SNX9	CD55
BAAT	HSD3B2
TGFA	CD79B
IGKV1-16	PDGFA
AKR1B1	CXCL8
AKR1B1	HSD17B3
RB1CC1	DYNLL1
RB1CC1	SYCE3
AP1M1	VAMP8
HSD3B2	HSD17B3
RASA1	CD79B
CXCL8	PDGFA
CXCL8	PLD2
SARDH	PNPO
