#tail	head
CFH	ATRX
ACTR3B	ARPC5L
ACTR3B	CCT8
GNA11	PRKCA
GNA11	GNB1
GNA11	CALM2
GNA11	LPAR1
GNA11	TRHR
GNA11	EDNRA
GNA11	KRAS
ETS2	CALM2
ETS2	JUN
ETS2	ARPC5L
ETS2	C1QTNF5
ETS2	CANX
ETS2	CLTC
UQCRFS1	UQCRC2
UQCRFS1	LGALS1
UQCRFS1	CYC1
UQCRFS1	FOXF2
FOXF2	CALM2
FOXF2	SGTB
OR1N1	REEP3
OR1N1	RTP5
OR1N1	GNB1
ATRX	CALM2
MYL2	CHL1
MYL2	CNGB1
MYL2	ARHGAP1
CLTC	JUN
CLTC	CANX
CLTC	CYC1
CLTC	UQCRC2
OR5V1	REEP3
OR5V1	RTP5
OR5V1	GNB1
CNGB1	PRKCA
CNGB1	JUN
CNGB1	CALM2
HEMGN	FLCN
HEMGN	KRAS
RPL26	JUN
RPL26	COX15
RPL26	KRAS
GNB1	CCT8
GNB1	EDNRA
GNB1	TRHR
GNB1	REEP3
GNB1	GPSM2
GNB1	RTP5
GNB1	CANX
GNB1	LPAR1
GNB1	COX15
GNB1	OR13C8
GNB1	JUN
GNB1	PRKCA
REEP3	OR13C8
ARHGAP1	CANX
SELENOK	EDNRA
SELENOK	CANX
SELENOK	PRKCA
RTP5	OR13C8
CYC1	UQCRC2
CYC1	JUN
CYC1	CANX
CYC1	COX15
GPSM2	PRKCA
GPSM2	LPAR1
CCT8	UQCRC2
CCT8	JUN
CCT8	FLCN
SGTB	C1QTNF5
SGTB	JUN
LGALS1	EDNRA
LGALS1	CHL1
LGALS1	JUN
LGALS1	PRKCA
ARPC5L	JUN
LPAR1	JUN
LPAR1	KRAS
CANX	UQCRC2
CANX	COX15
CANX	JUN
EDNRA	PRKCA
EDNRA	CALM2
EDNRA	KRAS
KRAS	CALM2
KRAS	PRKCA
UQCRC2	JUN
UQCRC2	COX15
JUN	CHL1
