#tail	head
CCNI2	CDK5
ATP2C1	PCK1
ATP2C1	RNF4
ATP2C1	PHKA1
GPR42	GOSR2
GPAT3	AASDHPPT
PHIP	HIST1H3J
PHIP	SIRT7
DDB2	CCT2
DDB2	HIST1H3J
DDB2	SUMO1
HIST1H3J	METTL14
HIST1H3J	HIST1H2BH
HIST1H3J	HIST1H4J
METTL14	CCT2
METTL14	HIST1H4J
METTL14	DDX21
METTL14	RPL9P9
METTL14	CCT8
METTL14	RPS6
FLCN	CCT8
ACSL6	SPTSSB
NMNAT3	PARP12
NMNAT3	DBT
NMNAT3	CRYL1
NAT8L	DBT
NAT8L	SP1
PIK3CG	RAC1
PIK3CG	FCGR2A
PIK3CG	IGLV2-14
WBP4	TCF3
SIRT7	RPL9P9
SP1	CD2BP2
SP1	SPTSSB
SP1	COG3
SP1	RNF138
SP1	CAD
EPHA2	STAT6
EPHA2	RAC1
ENPP6	EMC7
CCT2	EFTUD2
CCT2	CCT8
CCT2	GSPT1
HDAC4	RPL9P9
HDAC4	CUL7
HDAC4	RAE1
ETS2	RAC1
ETS2	ADRB3
ETS2	LCP1
AMPD1	FBXW11
EMC7	HIST1H2BH
EMC7	EMC3
CCT8	CYLD
CCT8	BRCA1
PIK3C2A	PTPN13
PIK3C2A	CD3D
PIK3C2A	EPHA3
RPL38	RPL9P9
RARS	CYLD
PCK1	TCF3
EPHA3	ILKAP
AASDHPPT	SPTSSB
AASDHPPT	MAX
AASDHPPT	MOGAT3
YY1	HIST1H4J
MOGAT3	BCKDHA
TAZ	NID1
LMO4	RBAK
LMO4	STAT6
UBQLN1	RNF4
CUL7	DDX21
CUL7	H2AFY
CUL7	RPL9P9
HSPA7	HIST1H4J
CYLD	TCF3
FAM98B	EFTUD2
DDX21	PINX1
DDX21	HIST1H2BD
DDX21	EFTUD2
CD3D	PTPN13
RNF4	HIST1H4J
RNF4	GNPAT
RNF4	H2AFY
DEFA5	ZNF277
CYP2C19	BRCA1
MAX	FBXW11
MAX	GNPAT
MAX	ASF1B
MAX	HIST1H2BH
CD2BP2	COTL1
CD2BP2	EFTUD2
SBF1	FBXW11
GRK4	ADRB3
KLK3	HIST1H4J
PHKA1	PTPN13
EFTUD2	HIST1H4J
COTL1	PINX1
PSPH	SPTSSB
TCF3	FBXW11
PTPN13	FBXW11
