#tail	head
SMYD2	CMBL
SAXO1	FBXO17
ITGB3BP	APP
SNW1	DDX23
SNW1	SYF2
SNW1	RPN1
MYO6	RPN1
RPN1	POLD1
RPN1	MCM3
RAD9A	MYC
AGGF1	RAP1B
PYGL	SRI
TLN1	RAP1A
TLN1	CHRNA6
TLN1	MYL12B
MYC	EEF1E1
MYC	CACNA1D
MYC	MCM3
MYC	BLK
PRKACA	AKAP9
PRKACA	SEC23B
PRKACA	CACNB3
RAP1B	RAPGEF4
RAP1B	YWHAB
RAP1B	RASGRP1
BLK	ABL1
BCAR3	OSGIN1
SHROOM3	DYNLL1
SYT5	SRI
ACSL5	AMPD1
CACNA1C	ESR2
CACNA1C	RASGRP1
CACNA1C	APP
CACNA1C	MYL12B
CCT4	HDAC1
ONECUT1	CACNA1D
SYF2	DDX23
SYF2	APP
SYF2	SRSF3
B9D2	NDC80
B9D2	ZWILCH
NDC80	DYNC1LI1
NDC80	DYNLL1
APP	FBXO17
APP	TBCK
SUV39H2	ABL1
FBXO17	AMPD1
MYL12B	CACNB3
SRSF3	DDX23
PDHX	ADH1A
RASGRP1	CACNB3
ABL1	EWSR1
KIFAP3	DYNLL1
