#tail	head
NR1H3	PTGES3L-AARSD1
TNFRSF1A	DCXR
CTTN	RPL9P8
CTTN	ESR2
HPCAL4	JUN
PIR	DCXR
PRKN	HNRNPCL1
PRKN	MRPS27
MRPS28	YBX1
MRPS28	MRPS27
MRPS28	ERAL1
MRPS27	MRPL2
MRPS27	MRPS10
MTIF2	MRPS10
MTIF2	MRPS33
RPL5	MRPL18
ROCK2	RHOA
NOG	RHOJ
NOG	C19orf47
NOG	PRKAA2
NOG	ARHGAP29
NOG	DPYSL2
MYC	ESR2
MYC	GTF2H2
RPL9P8	ETF1
RPL9P8	UBL4A
ERAL1	MRPL18
ERAL1	MRPS10
ERAL1	MRPL30
MRPL2	MRPS33
BOLA3	ABHD11
ETF1	E4F1
ZNF524	PICK1
DCXR	JUN
ALOX12	CYP2B6
MYOD1	JUN
MYOD1	NEURL1
MYOD1	CD40LG
MRPL18	MRPS10
HAX1	ESR2
MRPL55	MRPL30
PSTPIP1	JUN
JUN	ESR2
MRPS10	MRPL30
NOTCH2	ESR2
