#tail	head
NGFR	NCSTN
OBSL1	NUP153
HIST1H2BF	USP22
HIST1H2BF	GAPDH
HIST1H2BF	CENPM
HIST1H2BF	CENPA
HIST1H2BF	CENPH
HIST1H2BF	AHR
HIST1H2BF	ATG12
KRT75	CDC37
IGHV3-53	DAGLB
IGHV3-53	GNGT1
IGHV3-53	CDC37
IGHV3-53	GNG3
IGHV3-53	IGLV1-44
GPR31	GPSM2
GPR31	GNAT3
GPR31	GNGT1
GABARAPL2	FYCO1
GABARAPL2	TCF3
UBE2Q2	ITCH
UBE2Q2	ZNRF2
DSG2	TCF3
TAF5	TBPL1
IGKV2-28	GNGT1
ATG12	GATA1
ATG12	AHR
ATG12	CDC37
GPSM2	GNAT3
GPSM2	TAS1R2
REPIN1	TRAF3
REPIN1	GNG3
TRAF3	CDC37
PARP2	RAD23A
PARP2	GAPDH
CENPA	CENPH
TBXA2R	GNG3
GAPDH	PRKCD
NUP93	NUP153
NUP93	DDX20
NUP93	GEMIN7
OPRL1	GNG3
NUP58	INCENP
TCF3	GATA1
TCF3	TBPL1
PRKCD	PLPP4
PRKCD	GNGT1
PRKCD	GNG3
NUP153	DDX20
NUP153	INCENP
GNAT3	TAS1R2
AHR	RAF1
PMVK	TBPL1
CDC37	GNG3
CDC37	IGLV1-44
GNG3	GNGT1
GNG3	DAGLB
GNG3	TAS1R2
TAS1R2	GNGT1
