#tail	head
FRMD1	GBP6
CYBRD1	CP
KLC1	KTN1
NAMPT	TUBB2A
TNPO2	NTRK1
APLF	APP
FKBP7	ENO1
RPL5	PRKDC
RPL5	GAPDH
CDKN1A	UBC
LRRFIP1	CYFIP1
LRRFIP1	IGLV1-47
LRRFIP1	PRKDC
DUSP26	EPHA2
DUSP26	CSK
XRCC5	NTRK1
KMT2C	HIST1H3A
CD68	KTN1
IGHV1-2	IGLC1
HIST1H3J	SAP30
HIST1H3J	HIST1H4E
UBC	BRCA1
UBC	TRIM13
UBC	RPS27A
UTP18	RPS2
PPIB	NTRK1
PXYLP1	MTHFD1
DYNC1H1	HIST1H3D
DYNC1H1	RPS24
DYNC1H1	TNKS1BP1
PIK3CD	RPS27A
DVL3	WDR83
RAD52	ENO1
HOXB3	NCOA6
CP	PDIA3
CP	RPS27A
HNF4A	ALDH3A1
RFC1	HIST1H3A
RFC1	NTRK1
ZRSR2	APP
EXO1	RFC3
EXO1	POLE2
DUT	GAPDH
DUSP4	IGF1R
BRCA1	TRIM24
ERCC8	RPS27A
PRKDC	RMI1
PRKDC	NCOA6
PDIA3	NTRK1
WDR83	SHKBP1
MTHFD1	AK3
NTRK1	KTN1
NTRK1	RPS27A
GAPDH	TPI1
APP	EML2
RAD51C	POLE2
RFC3	RMI1
EIF4A3	RPS2
FANCI	USP36
TRIM24	IGLC1
SLC39A8	IGF1R
IGF1R	RPS27A
