#tail	head
NELFA	EAF1
SIN3A	HIST1H3D
SIN3A	HIST4H4
SIN3A	HIST2H4A
SIN3A	SP1
SIN3A	SMAD4
SIN3A	SAP30BP
SIN3A	HIST1H4E
IL15RA	PTPN6
NOG	GHR
NOG	AKT2
NOG	APOB
NOG	SLC7A6
NOG	HIST1H3D
APOB	SP1
SLC5A12	SLC4A9
SLC5A12	ATP1A4
UBE2V1	OGA
UBE2V1	ELOB
UBE2V1	GSTT1
HLA-DPB1	TNFSF13B
SIK1	PITX1
SIK1	VAPA
SLC7A6	SLC13A4
SLC7A6	SLC4A9
GHR	ELOB
GHR	IFNA8
KMT5C	RB1
KMT5C	HIST1H4E
GSTT1	CAMLG
ADIPOQ	CAMLG
OGA	SAP30BP
OGA	VAPA
SLC4A9	SLC13A1
HSF4	SP1
HIST4H4	RB1
SLC13A1	ATP1A4
SP1	PTPN6
SP1	CAMLG
SP1	IL1B
SP1	RB1
HIST1H4E	IL1B
SLC13A4	ATP1A4
SLC13A4	SLC23A1
STK38	HIST1H3D
SLC23A1	ATP1A4
PSMD11	TNFSF13B
HIST1H3D	HIST2H4A
ATP1A4	HIST2H4A
HIST2H4A	RB1
