#tail	head
CALCR	MLF2
NUP155	CEBPA
CHD3	RPS6
CHD3	HNRNPF
CHD3	MCM2
PIP5K1B	PIK3CA
AMPH	CALM1
AMPH	EREG
MRPL17	HNRNPF
MRPL17	MRPL34
MRPL17	SP1
FBXO40	VSX1
OBSCN	RPA1
SF3A3	POP1
SF3A3	HNRNPF
CARM1	HIST2H3D
HOXC4	POU6F1
HOXC4	HIST2H3D
HOXC4	CEBPA
HMGN2	SP1
HMGN2	POU6F1
HNRNPF	POLR2A
HNRNPF	SP1
HNRNPF	BUD31
HNRNPF	MCM2
HNRNPF	HIST2H3D
TXNDC5	VCP
TXNDC5	ARF1
SP1	SLC27A2
SP1	CEBPA
ARF1	EREG
POP1	RRP8
RPS6	RRP8
NUP107	GEMIN7
NUP107	VCP
PRKAG3	PDE8B
CALM1	PDE8B
CALM1	IGLC6
PDE8B	ADCY1
HIST2H3D	RRP8
HIST2H3D	HOXA2
CEBPA	HOXA2
POU6F1	HOXA2
PIK3CA	IGLC6
POLR2A	RBM22
POLR2A	HOXA2
