#tail	head
NCOR2	EP300
TRMT6	CXCL8
SCAF1	CIB1
SCAF1	CDCP1
ATAD5	HIST1H3C
EP300	HIST1H4L
EP300	TAF12
EP300	EEF2
EP300	RFC4
EP300	PDGFA
EP300	HIST1H3C
IRF8	IFI35
IRF8	CYB5B
LMNA	HIST1H2BK
SLC25A32	DBI
CDKN1A	MYC
HIST1H4A	TNF
HIST1H4A	HIST1H3C
HIST1H4A	FANCD2
ENTPD1	NT5C3A
CYB5B	CORO1C
CYB5B	TMEM41A
ERLIN2	PDGFA
EPN1	SEC23B
MYC	RFC4
MYC	NUP205
MYC	DBI
TNF	SERPINA5
TNF	BIN1
TNF	FGFR1
TRAF6	CBL
EEF2	MAP1LC3A
HIST1H3C	HIST1H4L
HIST1H3C	MCM3
HIST1H3C	GTF3C5
HIST1H3C	CD81
NLRP3	MAP1LC3A
RAPGEF3	GNAI1
TYMP	CXCL8
GEMIN8	SORBS1
NAPG	SEC23B
TGFB1I1	GP1BB
VWA1	C11orf24
IRF1	CBL
SAG	CSNK1G2
GNAI1	F8
RDH12	CTH
F8	MAP1LC3A
MCM3	CDC7
FAF1	HIST1H4L
HIST1H4L	IFI6
AP1M1	SORBS1
SCARB2	INPP5D
STAT4	CSNK1D
