#tail	head
TPST1	SSH1
RSL1D1	JUN
CDH5	JUN
CDH5	PTPRU
CDH5	RRP1
SLC22A23	JUN
E2F1	SP1
E2F1	RRP1B
E2F1	ROR1
SYK	SP1
SYK	NOG
SYK	PTPN23
PIK3R1	GNG8
SELPLG	TPST2
SSH1	AURKB
NOG	HNRNPA2B1
NOG	PLAGL1
NOG	CLASP2
NOG	FGF2
NOG	MAX
MAX	VPS29
MT2A	SP1
MT2A	ESR1
MT2A	SMPD4
SERPINF2	PLAU
ALDH2	PANK1
TNIP1	ROR1
TNIP1	ESR1
RPS8	RRP36
AURKB	PTPRU
PPFIA3	TRPC1
SLC25A13	MED10
RRP1	RRP1B
RAB7A	RABAC1
DVL3	SORBS3
DVL3	GNG8
PLAU	TEX101
PLAU	ESR1
PANK1	PANK2
SERPINB12	ZUP1
SERPINB12	THOC5
CDK12	U2SURP
CDK12	KRT31
EMG1	RRP36
PTPRU	ROR1
PTPRU	SUCLA2
U2SURP	JUN
LCE3B	TGM1
SCLT1	COMMD2
SP1	ZNF408
SP1	TCEAL1
SP1	SLC45A4
SP1	PLPPR2
ALDH3A2	COX7A1
DSCC1	PLPPR2
AES	KRT31
PTPN23	SUCLA2
TGM1	LCE1B
TGM1	CDSN
TRPC1	SMPD4
PPP2R2D	PHF5A
NBR1	JUN
JUN	BDKRB2
