#tail	head
POLL	NHEJ1
CTTN	HNRNPM
CTTN	HNRNPDL
CTTN	PTK2
CTTN	FASN
CTTN	MCM3
FERMT2	NTRK1
NHEJ1	RAD50
PTPN11	NTRK1
PTPN11	GGT5
PTPN11	MTPN
TUFM	HSPA1B
HNRNPDL	ESR2
HNRNPDL	NTRK1
CUX1	NTRK1
CUX1	HES1
CUX1	GPX1
CUX1	ESR2
CUX1	EPHA3
TBC1D23	SLAMF7
RAD50	MCM2
RAD50	MCM3
SMN1	MCM3
SMN1	HNRNPM
SMN1	AGAP1
SMN1	VCP
NR1H4	NR2E1
NR1H4	HES1
WRN	CMYA5
WRN	NTRK1
HNRNPM	RANBP2
HNRNPM	RPL10A
ARHGAP29	RHOBTB2
AGAP1	FAM110B
LTC4S	GGT5
COPB1	KIF5A
COPB1	KLC3
COPB1	NTRK1
PTPN14	PTK2
PTPN14	SYDE1
PTPN14	NTRK1
FASN	NTRK1
SND1	MAK
SND1	ESR2
GTF2IRD1	SELENOS
GTF2IRD1	SPTLC1
RNASEL	GSR
RANBP2	MCM2
RANBP2	CENPQ
SYDE1	FAM110B
TMEM109	ESR2
HSPA1B	MCM3
HSPA1B	NTRK1
HSPA1B	TPM3
PTK2	ESR2
PTK2	GSR
ALOX12	GPX1
NTRK1	VCP
NTRK1	TPM3
NTRK1	SAE1
NTRK1	IPO4
RHOV	TIAM2
MTPN	MCM2
MCM3	MCM2
PSMC2	ESR2
VCP	ATF6
VCP	MCM2
TOP3A	HES1
GGT5	OAT
SAE1	TRMT10A
MCM2	TPM3
MCM2	ESR2
KIF5A	KLC3
KIF5A	ESR2
DROSHA	NR2E1
