#tail	head
COA6	CD81
GNG8	KITLG
GNG8	LAT2
GNG8	GNB1
GNG8	CNTRL
GNG8	GNB2
GNG8	TYROBP
GNG8	PRKCQ
GNG8	IGHV3-7
GNG8	IGLV1-40
GNG8	GRAP2
GNG8	MC1R
GNG8	GNG12
GNG8	YES1
MC1R	GNG12
MC1R	GNB1
MC1R	GNB2
MNS1	PICK1
MNS1	TRIM54
CD81	JAK3
CD81	SYNCRIP
CD81	GNB1
CD81	GNB2
TRIM54	PICK1
TUBB8	IL12RB1
TUBB8	ICAM1
TUBB8	RAB8A
IGLV1-40	TYROBP
IGLV1-40	CNTRL
IGLV1-40	GNB1
IGLV1-40	PRKCQ
IGLV1-40	GNB2
IGLV1-40	LAT2
IGLV1-40	GNG12
IGLV1-40	IGHV3-7
IGLV1-40	YES1
IGLV1-40	KITLG
IGLV1-40	GRAP2
MTMR3	MTMR4
MTMR3	YES1
MTMR3	JAK3
MTMR3	FIG4
JAK3	MTMR4
JAK3	KITLG
JAK3	CYTH3
JAK3	IL4R
JAK3	IL12RB1
SOX9	SLC26A9
SOX9	PRKCQ
SOX9	PRDM8
LAT2	GNG12
LAT2	IGHV3-7
LAT2	TYROBP
LAT2	GRAP2
LAT2	PRKCQ
LAT2	CNTRL
LAT2	KITLG
LAT2	GNB1
LAT2	GNB2
LAT2	YES1
CYTH3	GNB1
CYTH3	GATA1
CYTH3	VSX1
CYTH3	GRAP2
GNB1	GNB2
GNB1	TYROBP
GNB1	PRKCQ
GNB1	IGHV3-7
GNB1	GRAP2
GNB1	YES1
GNB1	KITLG
GNB1	GATA1
GNB1	CNTRL
GNB1	GNG12
ICAM1	SYNCRIP
ICAM1	PRKCQ
KITLG	IGHV3-7
KITLG	IL4R
KITLG	GRAP2
KITLG	GATA1
KITLG	GRB10
KITLG	IL12RB1
KITLG	CNTRL
KITLG	GNB2
KITLG	YES1
KITLG	GNG12
CHST10	SLC25A24
CHST10	VSX1
CA12	SLC26A9
CA12	ATP6V1B2
VSX1	YES1
VSX1	PRDM8
VSX1	GNB2
IL4R	IL12RB1
IL4R	GRB10
SLC26A9	GATA1
GRB10	PICK1
PICK1	YES1
PICK1	ATP6V1B2
SYNCRIP	GATA1
RAB8A	CNTRL
RAB8A	MTMR4
SLC25A19	SLC25A24
SLC25A19	ATP6V1B2
TYROBP	GNB2
TYROBP	GNG12
TYROBP	IGHV3-7
TYROBP	GRAP2
TYROBP	CNTRL
GATA1	MTMR4
GATA1	PRDM8
GATA1	GRAP2
GNB2	GNG12
GNB2	CNTRL
GNB2	PRKCQ
GNB2	IGHV3-7
GNB2	GRAP2
GNB2	YES1
IGHV3-7	CNTRL
IGHV3-7	YES1
IGHV3-7	PRKCQ
IGHV3-7	GNG12
IGHV3-7	GRAP2
YES1	PRKCQ
YES1	GRAP2
YES1	GNG12
YES1	MTMR4
YES1	CNTRL
GNG12	CNTRL
GNG12	PRKCQ
GNG12	GRAP2
MTMR4	FIG4
CNTRL	GRAP2
GRAP2	PRKCQ
