#tail	head
IMMT	NOL8
PRPF4	RBM25
IFNG	JAK2
IFNG	IL6
IFNG	KL
IFNG	IL3RA
HIST1H3H	DNAJC8
ERMAP	APP
PLOD2	ESR2
SLA2	BBC3
COL9A1	ITGA2
CDKN1A	APP
F3	TNF
MTCP1	APP
DHX16	TRIM25
ATM	TSC22D1
RBM25	DNAJC8
RBM25	U2SURP
COL6A2	TNF
TNF	C5
TNF	IL3RA
TNF	TRPC1
TNF	IL6
MARK4	TRPC1
AKAP11	EGLN3
C5	TRPC1
ADAR	ESR2
SCNN1A	SERP1
NLRC4	BBC3
TMEM67	ABCD3
COMT	ESR2
COMT	COQ9
TSC22D1	UBE2I
ZNF385B	POU3F1
SPC24	EGLN3
DDHD1	EGLN3
GMFB	VDR
PDHA1	DLD
ARNT	PRKCE
SUZ12	TRIM25
SUZ12	ESR2
GUCY1B1	KL
APP	SYTL5
APP	ADH4
APP	TRPC1
COQ9	ABCD3
PIAS3	UBE2I
KL	ESR2
IL6	E4F1
STAU2	ESR2
HIST1H1A	TRIM25
SIRT6	HIST1H2BH
UBE2I	HIST1H2BH
E4F1	CHGB
EGLN3	TRIM25
NR0B2	IL3RA
POU3F1	MACC1
STAG2	PPP2R5A
CCL4	HMOX1
ABCD3	ESR2
VDR	LLCFC1
TRIM25	ESR2
ESR2	MYH7
