#tail	head
VKORC1	RMND5A
RTN2	NOG
PRDX5	MEF2A
GNG4	INPPL1
GNG4	NRG1
GNG4	ATP1A4
H2AFZ	WDR77
SRSF6	SRPK1
SRSF6	DDX39A
ASPG	NOS3
CCDC90B	PNP
RNASEK	ATP13A1
TREX1	NOG
PTP4A3	RAC1
FGF3	INPPL1
CDC34	TRIM69
CDC34	RAC1
CDC34	DET1
NOG	EPOP
NOG	NTRK1
NOG	IDS
UBE2M	RAC1
UBE2M	FBXO3
SLC25A19	ATP6V0C
SLC1A2	NME3
SLC1A2	SLC12A5
SLC1A2	GGT6
NR5A1	TRERF1
FTSJ1	GCLM
ERLIN2	MYD88
MEF2A	GNAS
MED26	POLR2C
DAAM1	GCLM
SIAH2	KAT5
SRPK1	NTRK1
EZH2	PRMT5
EZH2	DDB1
NRG1	RHOA
SCN3B	ATP1A4
SCN3B	TMPPE
PRMT5	NAPA
PRMT5	NTRK1
ISYNA1	NTRK1
RAC1	NTRK1
PGM1	NTRK1
NME3	ACAD8
NAPA	WDR77
NAPA	XRCC6
NAPA	FH
XRCC6	NTRK1
THRA	TLX2
THRA	VDR
NTRK1	GNAS
NTRK1	RTN4
POLR2C	WDR77
MSN	FH
GNPDA2	FH
GSTM2	KLF4
GNAS	TLX2
WDR77	CXXC1
VDR	UBE2B
TEF	TTN
