#tail	head
EIF4A2	ENO1
NUP85	MKI67
TNIP2	SBDS
TNIP2	EIF4H
TNIP2	RPLP1
TNIP2	CSTF2
HIST1H2BG	CENPL
HIST1H2BG	NBN
SNRPD2	HNRNPA1
SNRPD2	CSTF2
KIF19	COPB2
TRAM1	RPLP1
CENPL	VIRMA
CENPL	DIAPH2
CENPL	RANBP2
CENPL	HIST1H2BM
NRF1	HNRNPA1
NRF1	GNG10
NRF1	MKI67
CXCL12	GNG10
HNRNPM	RPLP1
HNRNPM	CSTF2
HNRNPM	DHX38
MAGEA6	COPB2
RAP1B	MKI67
RAP1B	GAR1
GAR1	SAP30
RPLP1	TPT1
RPLP1	HNRNPA1
RPLP1	HIST1H2BM
CEP128	APC
APC	RANBP9
APC	RANBP2
RING1	HIST1H2BM
HNRNPA1	RPL39
SAP30	HIST1H2BM
GRK2	GNG10
ILK	PSMB1
COL4A1	ACHE
COL4A1	COL11A2
CKS1B	PSMD13
P2RX3	CALB1
CSTF2	RBM5
TPT1	MSH2
HIST1H2BM	DPY30
