#tail	head
NOX4	ADH6
HAND1	DDIT4L
HAND1	FAM91A1
HAND1	XCR1
HAND1	C10orf71
ARF6	TNFSF10
E2F2	FHIT
NDUFB3	NDUFA7
NDUFB3	NDUFV2
NDUFB3	PFKP
ALPP	ADAMTSL4
ALPP	GDF9
ALPP	SULT2B1
ALPP	MAOA
NDUFA7	RPS28
NDUFA7	LEFTY1
NDUFA7	PFKP
RIPK1	RELA
MAPK6	CSE1L
MAPK6	PPP1R7
MAPK6	GATA1
MAPK6	EHF
HDAC3	EGLN3
HDAC3	FHIT
UQCRC1	NDUFV2
PQBP1	RPS28
NDUFV2	PITRM1
NDUFV2	SRC
USP2	SRC
USP2	RELA
USP2	LHX4
DDIT4L	CHMP1A
DDIT4L	BOLA2B
PPP1R16B	KLHL13
PPP1R16B	GATA1
PPP1R16B	PPP1R7
EHF	IFNA13
GRAP	ERBB3
BDKRB1	GNA14
SRC	FHIT
SRC	ERBB3
XCR1	GATA1
NDUFC1	PFKL
RBPMS	TFG
FHIT	NDUFS7
PFKP	PFKL
PFKP	PYCR2
TNFSF10	IFNA13
RELA	EGLN3
RELA	VDR
GNA14	DUSP22
