#tail	head
PTPN5	EPHA5
MORC2	ELOVL1
MORC2	HMGCR
MORC2	HIST1H3G
MORC2	HIST1H2BF
SERPINF1	L3MBTL2
HIST1H3H	HNRNPL
HIST1H3H	MEIS1
HIST1H3H	GATA1
HIST1H3H	RFXAP
ASGR1	TMX2
ASGR1	RNF19B
TMX2	RFT1
ME1	FH
HMGCR	AKR1E2
HMGCR	IDH1
HIST1H2BJ	HIST1H3G
MEIS1	AMPD1
MEIS1	HIST1H3G
MPG	LRRC59
CERS6	LEF1
DUSP1	REPIN1
DUSP1	EPHA7
SPATA6	HNRNPL
MSX1	GATA1
MSX1	EPHA7
MSX1	LEF1
REPIN1	GATA1
PACSIN3	LEF1
IDH1	CYP27A1
RFXAP	HIST1H3G
ERGIC3	TRAM1L1
L3MBTL2	TFDP1
L3MBTL2	HIST1H3G
L3MBTL2	POU6F2
KLHL22	AMPD1
LEF1	HIST1H3G
LEF1	RNF19B
FAF1	KCTD10
FAF1	HNRNPL
FOXL1	CPEB4
TUBA4A	EPHA7
CPEB4	GATA1
PEAK1	DUSP14
DUSP14	PI4KA
AMPD1	FBXO44
TFDP1	GATA1
CDSN	PI4KA
GATA1	HNRNPL
