#tail	head
KLC1	ARCN1
MED18	MED6
ARCN1	KIF28P
ARCN1	NF1
MDM2	SDHC
MDM2	NR3C1
HIST1H4I	CCDC8
HIST1H4I	MCRS1
BRIP1	CBX3
BRIP1	APEX1
CBY1	DENND1A
DDX17	EFTUD2
DDX17	TP53
DDX17	CCDC8
DDX17	JUN
SREBF1	TP53
SREBF1	MED14
TP53	PRDX6
TP53	UBE2E1
TP53	CCDC8
TP53	NUP93
TP53	COPB1
CCDC8	NUP93
CCDC8	KRT14
CCDC8	KIFC1
RNF13	UBE2E1
HNRNPH2	PAX4
MRPS18A	MRPL13
CBX4	CTBP1
CBX4	NF1
CBX4	MED14
MRPL13	MRPS15
MRPL13	NDUFS1
HNRNPD	SRSF11
SOWAHA	KIAA1671
CTBP2	PAX4
NF1	JUN
MED6	MED30
SLC25A10	NR3C1
SLC25A10	EFTUD2
SLC25A10	PRDX6
MRPS16	MRPS15
CDC16	PSMB7
COX14	NUP93
SNRPD3	SLBP
SNRPD3	NUP93
BUD31	JUN
PAX4	ZNF593
PAX4	ZDHHC5
PAX4	KRT14
ZKSCAN3	ZNF444
TACC2	MED22
ZDHHC5	NR3C1
SLBP	SNRPG
MT-CO2	JUN
MED22	MED30
MED14	MED30
MED14	NR3C1
SURF4	KIFC1
ZNF232	POU6F2
LSM6	EFTUD2
