#tail	head
TEDC1	NCAPH2
TNIP2	SPTAN1
SPTAN1	APP
SPTAN1	PIN4
HIST1H3H	PIM1
HIST1H3H	HIST4H4
HIST1H3H	ATF2
PHKG2	ABCB1
HIST1H2BJ	ATF2
CDK5RAP3	CDK5RAP2
SIPA1L3	GAK
CHCHD3	SUZ12
NME7	DYNLL1
PTGES3L-AARSD1	ARID4B
PTGES3L-AARSD1	SERPINH1
NOSTRIN	APP
HAS1	ATF2
NCOR1	AKR1C3
NCOR1	HDAC10
HIST4H4	HIST1H3I
TPD52L2	PFDN2
SUZ12	HIST1H3I
SUZ12	PDIA3
SUZ12	ATF2
SUZ12	TFDP2
SUZ12	HIC1
ABCB1	CEP57
ABCB1	OLA1
PDIA3	APP
PDIA3	SERPINH1
PHOSPHO1	PTGES3
PHOSPHO1	CCT7
APP	CEP57
TMPO	SERPINH1
SEC13	PACSIN2
SEC13	GAK
HIST1H2AE	NEK4
HIST1H2AE	ATF2
CALCOCO1	SERPINH1
CDK5RAP2	CDK11B
ATF2	SERPINH1
SERPINH1	RAI14
PTGES3	PACSIN2
CDK11B	CEP57
NEK4	TUBB3
