#tail	head
TFAP4	SYNRG
HIST1H4I	MYLK
HIST1H4I	DPF3
HIST1H4I	EFTUD2
CHD3	ILF2
CHD3	RPN1
CHD3	RFC1
EGF	PRKCD
EGF	PIK3R1
EGF	HSP90AA1
PIK3R1	KIRREL1
PIK3R1	MYLK
PIK3R1	UGCG
PIK3R1	NR3C1
PIK3R1	ARAF
PIK3R1	EFNA1
CREB1	LIN54
CREB1	HSP90AB1
CREB1	CRTC2
IRF7	ARAF
GCLM	PUF60
EFNA1	ACP1
MLST8	FKBP8
PUF60	EFTUD2
PUF60	RBM39
IFT27	HK1
SND1	ARAF
TLE2	TLX3
TLE2	SMAD4
IRF2BP2	SSBP3
HSPB2	TLX3
ACTC1	MYLK
TRAF3	MALT1
RPL7A	HSP90AB1
RPL7A	EIF3B
RPL7A	HSP90AA1
SSR2	RPS2
PRMT6	MALT1
HIST4H4	EFTUD2
HIST4H4	SMARCC1
HIST4H4	WTAP
TCTE1	LIN54
EIF3L	CALM2
HIST1H4F	BAZ2A
HIST1H4F	SAP30L
HIST1H4F	CALM2
EIF2B3	ILF2
RPL3	SPCS3
GATA3	BNC2
GATA3	NECTIN4
GATA3	HSP90AA1
SLC2A1	HK1
PITX2	PRKCD
SMAD4	SMARCC1
SMAD4	FOSL1
WTAP	RBM39
WTAP	EFTUD2
PSMD1	HSP90AA1
SPCS3	RPS2
EIF3B	HSP90AB1
TMEM17	PTPN1
ELK1	PTPN1
SMARCC1	NR3C1
DYNLL1	RPS2
HSP90AB1	RPN1
