#tail	head
IQCB1	ELAVL1
CENPI	ITGB3BP
CENPI	HIST1H2AJ
ELAVL1	OTULIN
ELAVL1	BCL10
CRTAC1	A2M
PXN	ITGA1
ARF6	CGB5
ARF6	GNA11
CCR9	GNGT1
CCR9	ADGRG1
CCR9	TRPC1
LIMS2	ITGA1
LIMS2	LAMA2
MMP2	BRCA1
KCNJ10	GNGT1
MTF1	GCLC
RSRC1	TCF3
ZEB1	ELOC
ZEB1	TCF3
ZEB1	CCDC112
ZEB1	TAB2
NUMBL	MYOD1
NAA10	PSME1
ARHGEF6	SMAD1
RASGRP2	TCF3
YWHAG	CEP162
YWHAG	BCR
FGF5	FZD3
FGF5	BLNK
BLNK	ICOS
COPG1	AP3D1
AGPAT5	SUCLA2
IGHV2-70	PRKCH
IGHV2-70	ICOS
IGHV2-70	GAB2
IGHV2-70	DGKI
FZD3	FGF8
MYOD1	CACNA2D3
COPS4	ELOC
ENAH	TES
PAK1	TCF3
BCR	PRKCH
TCF3	GNA12
AJUBA	HIST1H2AJ
POU4F3	KRT31
S1PR4	GNGT1
DIAPH1	TES
ITGA1	LAMA2
ITGA1	COL5A2
GNG5	ICOS
GNG5	GNA11
GNA12	GNG10
GNA11	ADGRG1
