#tail	head
ITSN2	CBL
E2F1	RFX1
BHLHA15	DAP3
KRAS	MYC
KRAS	HCK
FES	POU2F1
PRKCB	TRPV6
PRKCB	DDX58
PRKCB	PLD1
PTPN12	HCK
ASB2	UBE2M
GRM6	GNB5
COG5	VPS45
GRM3	MECOM
GRM3	GNB5
CEP19	GPATCH1
DDX41	RFX1
IL7	JAK1
IL7	EPOR
IL7	MECOM
ABHD8	RELA
IL9R	EPOR
GNB4	JUN
GNB4	FZD8
POLR2J	GIP
IL15	EPOR
GNB5	ERBB4
GNB5	MET
GNB5	PIK3R4
MRPL12	DAP3
UBE2O	JUN
CHAT	AACS
NUDT10	AQP9
RELA	SMAD3
RELA	THOC1
IGLV1-40	C4A
IGLV1-40	DGKK
IGLV1-40	ERBB4
IGLV1-40	INPP5K
GNG2	IGHG3
MECOM	RFX1
IL12A	ADORA1
BMP2	JUN
BMP2	MYC
BMP2	BMP5
IGHV2-70	WASF1
IGHV2-70	ERBB4
DMTN	RFX1
IGHG3	C4A
IGHG3	EPOR
IGHG3	GNG8
ARRB1	HCK
PPP2R1A	YWHAQ
GRIN2C	ACTA2
CEP170	YWHAQ
KCNA6	SLC24A5
LRRC7	ERBB4
SCAMP2	YWHAZ
RFX1	INPP5K
TRPV6	MYC
LMO4	JUN
LMO4	ZNF410
IGKV3D-20	C4A
PTPN21	WWC2
SLC38A9	LGALS3
SUMO3	PGD
MNAT1	UBC
SGMS2	PLD1
METTL9	ADAM32
ZNF638	PHLDB2
IPO4	MYC
EPOR	INPP5K
ZFYVE27	SURF4
FAM98A	JUN
LGALS3	ACTA2
JUN	LPAR1
JUN	CDK5R1
JUN	CYFIP1
TUBG1	LRWD1
ABCC1	PGD
ABCC1	CCL18
ABCC1	ABHD12B
CYP26A1	HIST1H4B
PLD1	AQP9
PLD1	LPCAT2
PLD1	RXRA
NOX3	NCF1
RXRA	ACOX1
RXRA	ATP1A3
MYC	PHLDB2
MYC	DSP
AQP9	ACOX1
PYHIN1	ADAMTS1
PRKACA	MZT2A
DDX58	USP17L28
NDEL1	KRT40
IGHG4	HCK
IGHG4	ERBB4
TXNDC5	KRT40
GIP	GNG8
GIP	ADORA1
HADHB	TK1
CUL2	YWHAQ
PHKA1	ATP1A3
CYFIP1	RHOG
YWHAQ	PHLDB2
YWHAQ	WWC2
ADORA1	GNG8
ACTA2	CATSPER1
UBE2M	PRDX2
ATP1A3	SLC27A3
ATP1A3	LYPD6
GNG8	WASF1
CBL	FZD4
SLC27A3	AACS
