#tail	head
HAO2	GPX5
MIA2	MYC
NRN1	NOG
IGHV3-53	FGFR3
NOG	IRS2
NOG	RREB1
NOG	SQOR
NOG	INPP5D
NOG	MTPAP
STAT1	SPACA1
SINHCAF	ZMYM6
UBE2V1	PDPK1
UBE3A	PSMA4
UBE3A	CALM3
UBE3A	EIF4G1
HNRNPR	KHDRBS1
STIP1	APP
STIP1	EPB41
MYC	SLC12A4
MYC	EIF4G1
MYC	HSPE1
SLC5A9	AMY2A
TRIAP1	PLGRKT
DLG3	CALM3
CALM3	TRPV6
CALM3	GRIN1
CALM3	CKMT1B
PDPK1	FCGR3A
POR	APP
EPO	IGHV2-5
EPO	IGLV2-11
RAB40B	FHL3
RAB40B	APP
CCDC51	CFTR
APP	TTC23L
APP	ASB10
APP	EPB41
APP	IL10
LBX1	IL10
KL	IL10
KL	GNG7
KL	GNB2
GNG7	FGFR3
GNG7	IGHV2-5
CYCS	EPB41
GNB2	IGLV2-11
