#tail	head
LCP2	PIK3R5
CNIH3	TMEM237
CNIH3	SORT1
PIK3R5	PHLDB2
PIK3R5	AP2A2
PIK3R5	RASAL2
PIK3R5	KL
ASPM	CDC16
ASPM	KATNB1
PMF1	PPP1CC
NOP56	LARP7
NOP56	MYCN
NOP56	EXOSC8
RPL22L1	RPL10A
RPL22L1	GSPT2
DNAJA1	DNAJA4
DNAJA1	CDC16
LARP7	RCN2
LARP7	MED4
LARP7	TUBB4B
MYCN	HMOX1
PPP1CC	TACC2
TRAV19	HLA-DRB4
EXOSC8	MED4
EXOSC8	MED20
EXOSC8	RXRB
GSPT2	RPL10A
TESK2	PHLDB2
TBCD	TUBB4B
KATNB1	TUBA1C
TACC2	RXRB
RPL10A	TUBB4B
RPL10A	RPL27A
SORT1	TUBA1C
SORT1	HMOX1
GRM2	GNAT3
RPL27A	HIST1H3A
ABL1	HCN4
TUBA1C	TUBB4B
TUBA1C	RCN2
TUBB4B	TMEM216
MED4	NCOA1
MED4	LRBA
TMEM216	LRBA
HIST1H3A	CBX3
CBX3	RCN2
PHLDB2	RASAL2
RXRB	NCOA1
