#tail	head
EPX	PAOX
CPT1B	CERS1
CPT1B	SLC27A6
FOXO4	STOML2
FOXO4	MSI2
FOXO4	RBM8A
WASF3	FCGR2A
WASF3	IGLV3-19
NCKAP1	FCGR2A
NCKAP1	ERBB4
EP400	EPC2
DOK1	ETS2
DOK1	JUN
DNM1	HLA-DPA1
DNM1	HBEGF
CMTM6	ECPAS
CMTM6	SPTBN1
KRT6A	SLC39A7
BTK	DGKQ
BTK	ERBB4
ACSL5	AMPD2
SRP14	SRPRB
SRP14	INS
SRP14	RPS25
SRP14	LYAR
ETS2	ITGB1
ETS2	NDUFS2
ETS2	STAT4
ETS2	JAK3
AMPD2	ANAPC7
AMPD2	CBLL2
AMPD2	PDE1C
CPNE4	LEF1
PRPS1	TUBA4A
PGGT1B	GATA1
RPN1	INS
RPN1	FDFT1
RPN1	RPL29
RPN1	RPRD1B
RPN1	RPL26
CFB	SLC39A7
SORBS1	STOML2
SORBS1	IARS
SORBS1	RPRD1B
SORBS1	INS
SORBS1	MSI2
SORBS1	SPTBN1
RPS25	RPL29
RPS25	RPL26
RSPRY1	SF1
RSPRY1	RPRD1B
RSPRY1	HSPH1
FAM83H	LEF1
FAM83H	MYCL
APOB	HBEGF
CEP152	TUBA4A
SPTBN1	IARS
SUZ12	ZC3H13
TUBA4A	CUX1
TUBA4A	JUN
TUBA4A	HSPH1
IGKV1-16	FCGR2A
CEP63	RAB3IP
ECPAS	KDM2B
SLC30A4	HBEGF
RPRD1B	LEF1
RPRD1B	MSI2
JUN	MYO6
JUN	CUX1
JUN	MAP3K2
NEK4	MYO6
PLAUR	LEF1
AMPD3	ANAPC10
AMPD3	IARS
GPBP1	GATA1
CUX1	INS
KIF21A	LEF1
FCGR2A	IGLV3-19
RBM8A	RPL26
ANAPC10	SF1
ANAPC10	INS
ANAPC10	TAF3
HSPH1	LEF1
SAP130	DNMT3B
HBEGF	IL2
HBEGF	INS
LYAR	RPL26
LYAR	RPL29
SF1	INS
SF1	IARS
PPFIBP1	INS
IL2	LEF1
ARL6IP5	IARS
POM121	INS
RPL29	INS
DCD	SLC39A7
ZNF598	IARS
DNMT3B	LEF1
INS	KDM2B
STAT2	ERBB4
