#tail	head
GLIS1	CDK6
HNF1A	DDX5
HNF1A	STAT5B
HNF1A	RBMS1
HNF1A	DLX1
IL24	MAZ
OBSL1	EEF1G
OBSL1	HSP90AB1
OBSL1	CCT3
OBSL1	HNRNPL
OBSL1	PROSER2
SFMBT1	FOXO4
RBMS1	POU6F1
FOXO4	BUB3
FOXO4	IMPDH2
CREM	MAZ
CREM	NOG
CASP8	CRYAB
MED12	NUMA1
MED12	DDX5
RUVBL2	HIST1H2AA
RUVBL2	RPA3
IMPDH2	TRIM25
IMPDH2	RPA1
SOX3	TRRAP
CREB1	MMP2
MMP2	VPS26A
MMP2	ESR2
RPA3	EMG1
RPA3	RAD51B
RPA3	TRIM25
NOG	HNRNPL
NOG	DDX5
NOG	POLD3
VIM	MAZ
VIM	CALCOCO2
CSTF1	TTC27
MCPH1	DNAJA3
MCPH1	NCCRP1
CRYAB	IQGAP3
HMGN1	PAX3
HMGN1	TOP3A
DDX5	PPIL3
BRD4	TRIM25
FKBP10	TRIM25
PADI4	IFNAR1
CSNK1A1	HNRNPL
AMBRA1	CCT3
GRK5	HSP90AB1
AP5B1	ESR2
UBE2Z	ANAPC5
UBE2Z	ASB8
CDK6	NUMA1
RB1CC1	TRIM25
ANAPC5	TRIM25
ANAPC5	PSMA1
PDE4DIP	GFI1B
CCDC57	HNRNPL
CCT3	MCM2
HNRNPL	CD2AP
MCM2	TRIM25
ZNHIT2	VPS29
HSP90AB1	NUMA1
